genes	IDTranscript/RepeatID (cmd=analyzeRepeats.pl /home/labs/amit/eyald/bin/data/Sheep_Ovis_aries_Oar_v3.1/oa3.ens90.P2000M.gtf none -d mic_sheep1.M mic_sheep2.M mic_sheep3.M -count exons -condenseGenes -strand + -raw)	chr	start	end	strand	Length	Copies	Annotation/Divergence	mic_sheep1.M (1263768.0 total)	mic_sheep2.M (2196952.0 total)	mic_sheep3.M (3022681.0 total)
IFT57	ENSOART00000020578	chr1	171355240	171426036	-	3266.0	1	0.000	13.000	7.000	34.000
BBS4	ENSOART00000020651	chr7	19146725	19172285	+	3495.0	1	0.000	43.000	85.000	88.000
DHPS	ENSOART00000013166	chr5	10895346	10898852	+	1093.0	1	0.000	40.000	62.000	85.000
KRT82	ENSOART00000018573	chr3	133799936	133814021	+	3528.0	1	0.000	0.000	0.000	0.000
SEC23IP	ENSOART00000004332	chr22	38951459	38996147	+	8763.0	1	0.000	29.000	73.000	61.000
PGD	ENSOART00000005814	chr12	41297271	41313662	-	3604.0	1	0.000	382.000	492.000	704.000
ENSOARG00000014367	ENSOART00000015641	chr5	58451286	58451630	+	344.0	1	0.000	4.000	6.000	0.000
ENSOARG00000015736	ENSOART00000017130	chr22	11943314	11946994	-	3255.0	1	0.000	7.000	13.000	20.000
GADL1	ENSOART00000016039	chr19	5149011	5299616	-	3488.0	1	0.000	0.000	1.000	0.000
ENSOARG00000026932	ENSOART00000028978	chr14	53982350	53985799	-	2566.0	1	0.000	0.000	0.000	0.000
ND4	ENSOART00000000028	chrM	10175	13552	+	3377.0	1	0.000	386.000	791.000	837.000
HOTAIR_3	ENSOART00000023116	chr3	132400228	132402325	-	2097.0	1	0.000	0.000	0.000	0.000
ZC3H3	ENSOART00000000867	chr9	14098352	14164256	+	4947.0	1	0.000	105.000	149.000	278.000
ESPNL	ENSOART00000020585	chr1	2943400	2968657	-	4067.0	1	0.000	0.000	0.000	0.000
PAN2	ENSOART00000010222	chr3	162943912	162958311	+	5684.0	1	0.000	22.000	37.000	68.000
ENSOARG00000009506	ENSOART00000010353	chr2	37652109	37664989	-	648.0	1	0.000	0.000	1.000	1.000
LONP2	ENSOART00000018367	chr14	16197324	16280695	+	4742.0	1	0.000	34.000	111.000	124.000
NFAT5	ENSOART00000003902	chr14	36056707	36111770	+	10219.0	1	0.000	10.000	32.000	26.000
ENSOARG00000011815	ENSOART00000012851	chr16	39646080	39676492	+	949.0	1	0.000	0.000	0.000	0.000
ENSOARG00000015113	ENSOART00000016447	chr13	34554500	34572324	-	3525.0	1	0.000	0.000	0.000	0.000
HS1BP3	ENSOART00000018832	chr3	28341752	28391519	-	3841.0	1	0.000	19.000	20.000	39.000
NEAT1_3	ENSOART00000024423	chr21	42926795	42926953	+	158.0	1	0.000	1.000	2.000	0.000
MIS18A	ENSOART00000015020	chr1	121470165	121482470	+	2611.0	1	0.000	0.000	8.000	2.000
ENSOARG00000008973	ENSOART00000009773	chr4	49772197	49775693	+	2405.0	1	0.000	0.000	0.000	0.000
ENSOARG00000018864	ENSOART00000020542	chrX	33754987	33878644	+	3869.0	1	0.000	0.000	0.000	0.000
KCNH3	ENSOART00000020409	chr3	136518560	136538460	-	5196.0	1	0.000	0.000	1.000	1.000
CTBS	ENSOART00000015199	chr1	60965762	60979135	-	3115.0	1	0.000	0.000	0.000	0.000
ENSOARG00000006921	ENSOART00000007522	chr1	107374230	107375171	-	941.0	1	0.000	0.000	0.000	0.000
ENSOARG00000017078	ENSOART00000018591	chr15	32665934	32668545	+	2611.0	1	0.000	35.000	64.000	58.000
ENSOARG00000024326	ENSOART00000026228	chr1	170281509	170281582	-	73.0	1	0.000	0.000	0.000	0.000
ENSOARG00000023510	ENSOART00000025412	chr6	92860583	92862670	-	2087.0	1	0.000	0.000	0.000	0.000
ENSOARG00000022317	ENSOART00000024219	chr22	30550570	30552644	+	2074.0	1	0.000	0.000	0.000	1.000
LRRIQ4	ENSOART00000000678	chr1	215567551	215585347	-	3678.0	1	0.000	0.000	0.000	0.000
UPK1B	ENSOART00000021424	chr1	182305674	182323364	+	2789.0	1	0.000	0.000	0.000	0.000
ENSOARG00000017800	ENSOART00000019365	chr9	94642155	94642574	-	345.0	1	0.000	0.000	0.000	0.000
TBX21	ENSOART00000009074	chr11	38269542	38282106	-	3606.0	1	0.000	0.000	0.000	0.000
MYO5C	ENSOART00000022823	chr7	55062736	55165575	+	7151.0	1	0.000	0.000	0.000	0.000
ENSOARG00000015766	ENSOART00000017161	chr21	26278841	26279059	-	218.0	1	0.000	0.000	0.000	0.000
GRB14	ENSOART00000006356	chr2	143839555	143967488	+	4160.0	1	0.000	0.000	0.000	0.000
FKBP7	ENSOART00000018831	chr2	130545285	130554584	+	2662.0	1	0.000	9.000	21.000	21.000
PTPN11	ENSOART00000010417	chr17	61404802	61470991	-	4577.0	1	0.000	31.000	31.000	78.000
ABCC6	ENSOART00000010799	chr24	14451274	14518770	-	6477.0	1	0.000	0.000	15.000	2.000
DDX47	ENSOART00000022709	chr3	201896376	201912018	-	3761.0	1	0.000	38.000	73.000	107.000
ENSOARG00000011855	ENSOART00000012896	chr11	45762020	45804167	+	4310.0	1	0.000	4.000	11.000	14.000
ARHGDIG	ENSOART00000012551	chr24	230288	232335	+	645.0	1	0.000	0.000	0.000	0.000
MAML3	ENSOART00000014033	chr17	17510865	17692533	+	4675.0	1	0.000	7.000	6.000	6.000
ENSOARG00000000711	ENSOART00000000762	chr15	48775747	48785981	+	2958.0	1	0.000	0.000	0.000	0.000
ENSOARG00000000762	ENSOART00000000815	chrUn_JH924201	3989	9938	-	2736.0	1	0.000	0.000	0.000	0.000
NPTX1	ENSOART00000000627	chr11	51200860	51208393	+	3171.0	1	0.000	0.000	0.000	0.000
ENSOARG00000010877	ENSOART00000011828	chr15	78513252	78525846	+	3807.0	1	0.000	2.000	3.000	4.000
ENSOARG00000008547	ENSOART00000009298	chr15	76636687	76649703	+	2931.0	1	0.000	0.000	0.000	0.000
PCDHB15	ENSOART00000015246	chr5	49709852	49714155	+	4303.0	1	0.000	0.000	0.000	0.000
ENSOARG00000026925	ENSOART00000028971	chr14	47555583	47663167	+	1648.0	1	0.000	12.000	10.000	37.000
MYLK	ENSOART00000021994	chr1	186262574	186452260	-	7809.0	1	0.000	0.000	0.000	0.000
ENSOARG00000026737	ENSOART00000028767	chr7	99211462	99401354	+	1313.0	1	0.000	0.000	0.000	0.000
ENSOARG00000021234	ENSOART00000023136	chr5	56022948	56023024	+	76.0	1	0.000	0.000	0.000	0.000
DNAJC1	ENSOART00000001123	chr13	22053134	22244166	-	3621.0	1	0.000	64.000	155.000	212.000
PIBF1	ENSOART00000016784	chr10	47982400	48212028	+	4289.0	1	0.000	6.000	11.000	10.000
SCARNA13	ENSOART00000024789	chr18	59086906	59089180	-	2274.0	1	0.000	9.000	15.000	23.000
ENSOARG00000017600	ENSOART00000019150	chrUn_JH922196	36231	38353	-	2122.0	1	0.000	0.000	0.000	0.000
ENSOARG00000006224	ENSOART00000006767	chr21	16850838	16851686	+	238.0	1	0.000	0.000	0.000	0.000
ENSOARG00000007158	ENSOART00000007787	chr2	242013423	242021512	-	2969.0	1	0.000	64.000	185.000	223.000
SNAI3	ENSOART00000014206	chr14	13436227	13439699	-	2772.0	1	0.000	0.000	0.000	0.000
ENSOARG00000001776	ENSOART00000001911	chr19	12264013	12264473	+	436.0	1	0.000	3.000	10.000	18.000
APOC3	ENSOART00000002726	chr15	26974130	26977908	+	2325.0	1	0.000	0.000	0.000	0.000
ENSOARG00000002077	ENSOART00000002236	chr21	496911	524737	-	1930.0	1	0.000	5.000	8.000	19.000
ENSOARG00000018833	ENSOART00000020508	chr1	84984611	85048023	-	2017.0	1	0.000	1.000	0.000	2.000
ENSOARG00000003398	ENSOART00000003693	chr21	4774099	4780322	-	1328.0	1	0.000	0.000	0.000	0.000
EIF3F	ENSOART00000016612	chr15	44082299	44091753	-	2927.0	1	0.000	107.000	246.000	333.000
C9orf135	ENSOART00000014075	chr2	66263994	66362985	-	2682.0	1	0.000	0.000	1.000	0.000
ENSOARG00000021840	ENSOART00000023742	chr3	33417654	33417778	-	124.0	1	0.000	0.000	0.000	0.000
SPATC1L	ENSOART00000014114	chr1	264001325	264021409	-	3019.0	1	0.000	0.000	0.000	0.000
SLC25A14	ENSOART00000017159	chrX	108497602	108539400	+	3047.0	1	0.000	10.000	23.000	21.000
ENSOARG00000015911	ENSOART00000017324	chrX	108779398	108785028	-	5546.0	1	0.000	3.000	11.000	3.000
LYRM7	ENSOART00000018137	chr5	20785345	20808989	-	2303.0	1	0.000	0.000	2.000	8.000
REL	ENSOART00000001560	chr3	62962054	63001655	-	4721.0	1	0.000	72.000	360.000	187.000
TRMT6	ENSOART00000019584	chr13	47369191	47384457	-	6524.0	1	0.000	26.000	49.000	46.000
C1QC	ENSOART00000008698	chr2	243066612	243070884	-	814.0	1	0.000	327.000	403.000	1088.000
ENSOARG00000023168	ENSOART00000025070	chrX	95344028	95346133	+	2105.0	1	0.000	33.000	30.000	15.000
ENSOARG00000013054	ENSOART00000014188	chr15	79494430	79497377	-	2947.0	1	0.000	0.000	0.000	0.000
OR1L1	ENSOART00000020963	chr3	13001835	13004824	-	2989.0	1	0.000	0.000	0.000	0.000
PRKRIP1	ENSOART00000015766	chr24	34530533	34555843	-	2726.0	1	0.000	8.000	6.000	25.000
ADRM1	ENSOART00000015347	chr13	54243612	54252650	-	5510.0	1	0.000	85.000	137.000	223.000
KDM5C	ENSOART00000009744	chrX	49712513	49744308	+	6617.0	1	0.000	91.000	143.000	205.000
ATP6V1B2	ENSOART00000011625	chr2	45336025	45361588	-	3521.0	1	0.000	49.000	125.000	137.000
LIAS	ENSOART00000012771	chr6	58541944	58559273	+	3098.0	1	0.000	13.000	31.000	41.000
STAG3	ENSOART00000018752	chr24	36086439	36117212	-	5759.0	1	0.000	7.000	10.000	14.000
IFT81	ENSOART00000017109	chr17	53661638	53754199	+	4036.0	1	0.000	0.000	1.000	3.000
ATP6V0B	ENSOART00000000711	chr1	18391693	18395747	+	1714.0	1	0.000	384.000	682.000	1130.000
NUP50	ENSOART00000021044	chr3	219597098	219616595	-	5728.0	1	0.000	53.000	109.000	144.000
USF3	ENSOART00000021202	chr1	176707818	176733538	-	8810.0	1	0.000	32.000	74.000	67.000
SPCS1	ENSOART00000002251	chr19	48133180	48137136	-	3083.0	1	0.000	86.000	205.000	368.000
SLC10A4	ENSOART00000018880	chr6	67136202	67145166	+	4540.0	1	0.000	6.000	12.000	6.000
FNDC11	ENSOART00000011624	chr13	53440766	53445430	-	3156.0	1	0.000	0.000	0.000	0.000
ENSOARG00000002796	ENSOART00000003026	chr19	13549581	13550957	-	1192.0	1	0.000	2.000	3.000	0.000
ENSOARG00000026758	ENSOART00000028790	chr22	39915652	39920203	+	3637.0	1	0.000	0.000	0.000	0.000
ENSOARG00000024711	ENSOART00000026613	chr17	45460181	45462289	-	2108.0	1	0.000	0.000	0.000	0.000
ENSOARG00000013902	ENSOART00000015135	chr24	34352396	34361985	+	3146.0	1	0.000	3.000	9.000	22.000
ANKRD13B	ENSOART00000009055	chr11	20476197	20494166	+	3896.0	1	0.000	0.000	3.000	0.000
ZNF311	ENSOART00000018861	chr20	28994120	29007668	+	4290.0	1	0.000	5.000	5.000	5.000
AMT	ENSOART00000014986	chr19	50638931	50644679	+	3110.0	1	0.000	180.000	200.000	245.000
KIAA0319	ENSOART00000006780	chr20	32076589	32119991	+	5265.0	1	0.000	0.000	0.000	0.000
ENSOARG00000004294	ENSOART00000004677	chr16	5645983	5646444	-	192.0	1	0.000	0.000	0.000	0.000
ENSOARG00000012907	ENSOART00000014029	chr24	33734366	33745274	+	4657.0	1	0.000	0.000	0.000	0.000
C20orf141	ENSOART00000006027	chr13	51692016	51692597	-	495.0	1	0.000	0.000	0.000	0.000
GRIN2B	ENSOART00000022664	chr3	200689548	201198832	+	6611.0	1	0.000	0.000	0.000	0.000
ENSOARG00000005441	ENSOART00000005925	chr14	46768392	46779779	-	386.0	1	0.000	0.000	1.000	3.000
STIL	ENSOART00000003873	chr1	21551157	21601038	-	5873.0	1	0.000	0.000	1.000	5.000
ADCY8	ENSOART00000008121	chr9	22747183	22983623	+	5559.0	1	0.000	41.000	98.000	105.000
EPHX3	ENSOART00000004088	chr5	7669684	7675094	+	3068.0	1	0.000	29.000	73.000	99.000
ZNF35	ENSOART00000005003	chr19	16348231	16355722	+	3582.0	1	0.000	13.000	24.000	16.000
ENSOARG00000011873	ENSOART00000012911	chr2	178689922	178691499	-	1567.0	1	0.000	3.000	19.000	15.000
MIEN1	ENSOART00000013028	chr11	39664143	39667110	-	2341.0	1	0.000	13.000	69.000	102.000
ENSOARG00000017808	ENSOART00000019376	chrX	22760613	22926250	+	3147.0	1	0.000	0.000	0.000	0.000
OR10J3	ENSOART00000007906	chr1	108580708	108583646	-	2938.0	1	0.000	0.000	0.000	0.000
ENSOARG00000014505	ENSOART00000015791	chr9	92920403	92921085	+	514.0	1	0.000	0.000	0.000	0.000
CPLX2	ENSOART00000018098	chr7	5048029	5051350	-	2400.0	1	0.000	0.000	0.000	0.000
ENSOARG00000000368	ENSOART00000000384	chr1	102158014	102162522	+	3295.0	1	0.000	0.000	0.000	0.000
FAM92A	ENSOART00000009634	chr9	83162502	83189012	-	2895.0	1	0.000	1.000	14.000	12.000
ENSOARG00000013855	ENSOART00000015078	chr18	62597361	62597606	-	245.0	1	0.000	0.000	0.000	0.000
TUB	ENSOART00000016498	chr15	43982937	44005626	-	3531.0	1	0.000	0.000	0.000	0.000
ENSOARG00000025615	ENSOART00000027550	chr1	224894006	224954099	-	1904.0	1	0.000	0.000	0.000	0.000
NAALAD2	ENSOART00000003549	chr21	4644568	4701093	-	4303.0	1	0.000	0.000	1.000	0.000
ENSOARG00000020778	ENSOART00000022637	chr2	233119069	233121942	+	1575.0	1	0.000	0.000	0.000	0.000
ENSOARG00000021813	ENSOART00000023715	chr8	14768214	14770290	-	2076.0	1	0.000	0.000	0.000	0.000
ENSOARG00000012416	ENSOART00000013510	chr15	53412590	53697798	+	3959.0	1	0.000	15.000	40.000	61.000
ENSOARG00000001961	ENSOART00000002110	chrUn_AMGL01129737	144	1129	-	321.0	1	0.000	0.000	0.000	0.000
ENSOARG00000004965	ENSOART00000005407	chr12	2158883	2159713	-	830.0	1	0.000	0.000	0.000	0.000
CFAP65	ENSOART00000021533	chr2	219927780	219967683	-	8627.0	1	0.000	0.000	0.000	0.000
ENSOARG00000018500	ENSOART00000020137	chr20	30305867	30308538	+	2420.0	1	0.000	12.000	14.000	40.000
FAM13A	ENSOART00000020392	chr6	35917229	35981973	+	4021.0	1	0.000	13.000	24.000	21.000
TAF1B	ENSOART00000016543	chr3	18977223	19029646	+	7750.0	1	0.000	16.000	39.000	47.000
HDAC7	ENSOART00000021105	chr3	138572392	138593946	+	4877.0	1	0.000	11.000	5.000	26.000
ENSOARG00000009286	ENSOART00000010108	chrUn_JH924455	20430	38230	+	5105.0	1	0.000	0.000	0.000	0.000
GPRASP2	ENSOART00000020308	chrUn_JH923837	10508	13045	+	2537.0	1	0.000	0.000	0.000	0.000
SNORD89	ENSOART00000025672	chr3	100205013	100207126	+	2113.0	1	0.000	21.000	52.000	14.000
RSG1	ENSOART00000013284	chr2	248719604	248725151	+	2536.0	1	0.000	3.000	4.000	3.000
MMP19	ENSOART00000011907	chr3	163350279	163359461	+	5582.0	1	0.000	0.000	2.000	0.000
ENSOARG00000000416	ENSOART00000000441	chrUn_JH923016	4675	9333	+	2577.0	1	0.000	0.000	0.000	0.000
HINFP	ENSOART00000014849	chr15	29190689	29198176	+	3512.0	1	0.000	57.000	120.000	177.000
BCL6	ENSOART00000022314	chr1	197827521	197842094	+	4134.0	1	0.000	49.000	167.000	122.000
C14orf37	ENSOART00000022996	chr7	67231591	67381578	-	8631.0	1	0.000	2.000	6.000	23.000
ENSOARG00000019743	ENSOART00000021499	chr2	201945137	201945547	-	410.0	1	0.000	2.000	3.000	12.000
CDON	ENSOART00000013139	chr21	28562272	28659817	-	6016.0	1	0.000	0.000	0.000	0.000
ENSOARG00000004324	ENSOART00000004708	chr25	16453110	16455622	-	2444.0	1	0.000	1.000	0.000	1.000
DEF6	ENSOART00000012716	chr20	9378177	9405285	+	7793.0	1	0.000	60.000	56.000	159.000
ENSOARG00000002104	ENSOART00000002264	chr24	2990161	2992901	-	2180.0	1	0.000	0.000	0.000	0.000
MCRIP1	ENSOART00000019711	chr11	50218977	50222115	+	2308.0	1	0.000	81.000	106.000	191.000
NRK	ENSOART00000000834	chrX	124486109	124611087	+	7081.0	1	0.000	33.000	37.000	33.000
NLRP5	ENSOART00000003488	chr14	60488242	60506466	+	5571.0	1	0.000	0.000	0.000	0.000
ENSOARG00000000686	ENSOART00000000736	chrUn_JH922287	21	3422	+	2802.0	1	0.000	0.000	0.000	0.000
ITGB5	ENSOART00000022018	chr1	187473287	187581008	-	4378.0	1	0.000	81.000	107.000	227.000
CCDC36	ENSOART00000015544	chr19	50757498	50780515	-	3787.0	1	0.000	0.000	1.000	2.000
SLC25A13	ENSOART00000004448	chr4	13339624	13572042	-	4461.0	1	0.000	38.000	108.000	118.000
ENSOARG00000001403	ENSOART00000001502	chr11	51380428	51384323	+	2181.0	1	0.000	0.000	0.000	0.000
C9orf50	ENSOART00000009552	chr3	6854197	6863033	+	2948.0	1	0.000	0.000	1.000	3.000
ASAP2	ENSOART00000016214	chr3	18486102	18662997	+	4962.0	1	0.000	0.000	1.000	0.000
ENSOARG00000018420	ENSOART00000020046	chr1	164380058	164386252	+	1840.0	1	0.000	0.000	0.000	0.000
GALT	ENSOART00000009977	chr2	36697988	36703175	-	3119.0	1	0.000	24.000	34.000	55.000
ENSOARG00000025044	ENSOART00000026946	chrX	78722103	78724182	+	2079.0	1	0.000	0.000	0.000	0.000
ENSOARG00000000162	ENSOART00000000168	chrUn_JH921914	7036	11102	-	884.0	1	0.000	0.000	0.000	0.000
ENSOARG00000010680	ENSOART00000011621	chr10	27370138	27371049	+	891.0	1	0.000	1.000	2.000	2.000
PLEKHM2	ENSOART00000009756	chr12	49888163	49904429	-	4976.0	1	0.000	181.000	174.000	340.000
SPTLC1	ENSOART00000008579	chr2	26929597	26996794	-	3399.0	1	0.000	76.000	141.000	212.000
BCS1L	ENSOART00000021399	chr2	219609575	219618410	+	7689.0	1	0.000	21.000	26.000	51.000
TADA2B	ENSOART00000012540	chr6	112895504	112898593	+	2979.0	1	0.000	4.000	8.000	20.000
ENSOARG00000018087	ENSOART00000019686	chr11	27153344	27155993	-	2549.0	1	0.000	6.000	13.000	19.000
ENSOARG00000026897	ENSOART00000028941	chr14	9763082	9919673	+	3627.0	1	0.000	0.000	0.000	0.000
MMP12	ENSOART00000005368	chr15	5352875	5364227	+	3788.0	1	0.000	0.000	0.000	0.000
BUD23	ENSOART00000013302	chr24	33485164	33499104	-	2823.0	1	0.000	25.000	52.000	90.000
OR4Q3	ENSOART00000014652	chr7	24315800	24318738	+	2938.0	1	0.000	0.000	0.000	0.000
ENSOARG00000018009	ENSOART00000019606	chrX	118927987	118934890	-	2585.0	1	0.000	7.000	21.000	21.000
SNORD63	ENSOART00000024822	chr5	47299283	47299353	-	70.0	1	0.000	0.000	0.000	0.000
MAP1B	ENSOART00000005654	chr16	9391101	9481707	-	9203.0	1	0.000	0.000	0.000	1.000
RD3	ENSOART00000012698	chr12	70114121	70119410	+	2520.0	1	0.000	0.000	0.000	0.000
RPS6KA1	ENSOART00000004784	chr2	239441298	239467559	-	5432.0	1	0.000	401.000	425.000	873.000
PSMB1	ENSOART00000005590	chr8	90627359	90657761	-	6472.0	1	0.000	135.000	355.000	458.000
ENSOARG00000004794	ENSOART00000005223	chr8	84838731	84908013	+	2830.0	1	0.000	0.000	0.000	0.000
TCL6_1	ENSOART00000026945	chr18	59181000	59183099	+	2099.0	1	0.000	0.000	0.000	0.000
WRB	ENSOART00000010559	chr1	257561377	257578204	+	2661.0	1	0.000	6.000	17.000	14.000
KDELC2	ENSOART00000013463	chr15	17645714	17662802	-	3331.0	1	0.000	14.000	37.000	38.000
ENSOARG00000024870	ENSOART00000026772	chr16	17776723	17776813	-	90.0	1	0.000	0.000	0.000	0.000
REEP2	ENSOART00000017897	chr5	47209138	47212067	+	719.0	1	0.000	0.000	0.000	0.000
ENSOARG00000006411	ENSOART00000006964	chr3	4688944	4904927	+	1026.0	1	0.000	21.000	27.000	51.000
FAM58A	ENSOART00000008077	chrX	77800881	77813865	+	4787.0	1	0.000	55.000	85.000	124.000
TRAF3	ENSOART00000005423	chr18	66251073	66301780	+	3822.0	1	0.000	36.000	47.000	95.000
C18orf63	ENSOART00000005100	chr23	4057448	4091111	-	7845.0	1	0.000	0.000	0.000	0.000
F13A1	ENSOART00000020080	chr20	47734507	47874375	+	4386.0	1	0.000	0.000	28.000	7.000
SERAC1	ENSOART00000004721	chr8	81300683	81341458	-	3935.0	1	0.000	3.000	5.000	8.000
ENSOARG00000009196	ENSOART00000010004	chr20	29931156	29933548	+	2392.0	1	0.000	1.000	0.000	3.000
RB1CC1	ENSOART00000014840	chr9	34329308	34361466	-	6890.0	1	0.000	31.000	43.000	100.000
ENSOARG00000018522	ENSOART00000020159	chr4	9806521	9814017	-	2454.0	1	0.000	61.000	58.000	77.000
GRIA3	ENSOART00000014678	chrX	101583450	101888914	+	4676.0	1	0.000	0.000	0.000	0.000
ENSOARG00000002966	ENSOART00000003215	chr17	56655318	56661054	-	2557.0	1	0.000	25.000	62.000	75.000
ENSOARG00000017632	ENSOART00000019183	chrUn_JH921633	2214	2414	+	200.0	1	0.000	0.000	0.000	0.000
YME1L1	ENSOART00000017160	chr13	16729648	16761625	-	4415.0	1	0.000	160.000	429.000	225.000
ENSOARG00000018106	ENSOART00000019707	chr3	163837956	163838891	-	935.0	1	0.000	0.000	0.000	0.000
ENSOARG00000002767	ENSOART00000002999	chrUn_JH922719	1463	9214	-	3498.0	1	0.000	0.000	0.000	0.000
MRE11	ENSOART00000002286	chr15	978231	1054482	-	4185.0	1	0.000	29.000	46.000	63.000
COL18A1	ENSOART00000013713	chr1	263365064	263424969	+	6935.0	1	0.000	0.000	0.000	0.000
BCLAF1	ENSOART00000000096	chr8	61291172	61313162	-	5646.0	1	0.000	45.000	98.000	93.000
TEX45	ENSOART00000000953	chr5	14048409	14053274	+	1422.0	1	0.000	0.000	0.000	0.000
ENSOARG00000023579	ENSOART00000025481	chr15	33664727	33666800	+	2073.0	1	0.000	0.000	0.000	0.000
ENSOARG00000020089	ENSOART00000021872	chr20	31077040	31079432	+	2392.0	1	0.000	0.000	0.000	0.000
ENSOARG00000015511	ENSOART00000016873	chr21	26746281	26747192	+	911.0	1	0.000	0.000	0.000	0.000
HOMER3	ENSOART00000010815	chr5	4047266	4055502	+	3028.0	1	0.000	1804.000	2251.000	2830.000
MIGA2	ENSOART00000009640	chr3	7340846	7361261	-	3894.0	1	0.000	28.000	44.000	109.000
ENSOARG00000020192	ENSOART00000021985	chr9	40070604	40071005	-	401.0	1	0.000	0.000	0.000	0.000
MMP25	ENSOART00000001242	chr24	2452784	2464350	+	3237.0	1	0.000	2.000	0.000	1.000
C1RL	ENSOART00000004768	chr3	207275702	207287576	+	3456.0	1	0.000	72.000	186.000	204.000
CAPZA3	ENSOART00000022042	chr3	196088024	196090923	-	2899.0	1	0.000	0.000	0.000	0.000
KCNE5	ENSOART00000019565	chrX	118866766	118869281	+	2411.0	1	0.000	1.000	5.000	4.000
STRIP2	ENSOART00000004894	chr4	93391886	93438000	+	4453.0	1	0.000	1.000	6.000	0.000
CD80	ENSOART00000021522	chr1	182612391	182637278	-	2926.0	1	0.000	2.000	10.000	1.000
ENSOARG00000024764	ENSOART00000026666	chrUn_JH923873	-1561	508	-	2069.0	1	0.000	0.000	0.000	0.000
GATAD1	ENSOART00000019788	chr4	9666498	9674252	+	2557.0	1	0.000	2.000	14.000	27.000
ENSOARG00000020166	ENSOART00000021956	chr1	92393431	92393910	+	300.0	1	0.000	0.000	0.000	0.000
DDO	ENSOART00000010930	chr8	26897439	26916465	+	3074.0	1	0.000	0.000	0.000	0.000
NOC2L	ENSOART00000008615	chr12	49587795	49602784	+	5403.0	1	0.000	55.000	55.000	100.000
MX2	ENSOART00000011132	chr1	259688071	259718801	+	4386.0	1	0.000	21.000	52.000	31.000
TOR1B	ENSOART00000009258	chr3	6672309	6678962	-	2824.0	1	0.000	33.000	100.000	77.000
ENSOARG00000010753	ENSOART00000011698	chr24	23768794	23769432	+	638.0	1	0.000	0.000	0.000	0.000
OR10D3	ENSOART00000016807	chr21	26342849	26345784	+	2935.0	1	0.000	0.000	0.000	0.000
RAPGEF3	ENSOART00000021127	chr3	138618569	138647274	+	4832.0	1	0.000	0.000	0.000	1.000
HK2	ENSOART00000014034	chr3	96625648	96671143	+	5042.0	1	0.000	0.000	4.000	5.000
PLBD1	ENSOART00000022634	chr3	200132195	200222063	+	3617.0	1	0.000	11.000	24.000	22.000
ENSOARG00000004919	ENSOART00000005358	chr23	54160042	54174143	+	784.0	1	0.000	0.000	0.000	0.000
ARNTL	ENSOART00000008515	chr15	38888197	38925292	-	4110.0	1	0.000	7.000	11.000	7.000
ENSOARG00000003780	ENSOART00000004103	chr14	62220223	62234023	+	3076.0	1	0.000	1.000	11.000	6.000
ENSOARG00000002670	ENSOART00000002891	chr24	38457941	38460219	-	521.0	1	0.000	0.000	0.000	0.000
ENSOARG00000027011	ENSOART00000029071	chr8	31049726	31063342	-	7648.0	1	0.000	0.000	1.000	1.000
C1orf123	ENSOART00000006751	chr1	27497549	27504759	-	2468.0	1	0.000	83.000	191.000	250.000
FILIP1	ENSOART00000007064	chr8	2031574	2194768	-	5741.0	1	0.000	0.000	0.000	0.000
TMEM170B	ENSOART00000016073	chr20	43772777	43788490	-	2420.0	1	0.000	2.000	3.000	6.000
TLX3	ENSOART00000003837	chr16	3197706	3201817	+	2871.0	1	0.000	0.000	0.000	0.000
ENSOARG00000003677	ENSOART00000003990	chr3	2557530	2560126	-	797.0	1	0.000	457.000	686.000	1119.000
ENSOARG00000004214	ENSOART00000004585	chr15	50010450	50016708	+	2762.0	1	0.000	0.000	0.000	0.000
RIBC2	ENSOART00000021130	chr3	219848672	219865577	+	6659.0	1	0.000	0.000	0.000	0.000
TRPV2	ENSOART00000018409	chr11	32770356	32787071	-	4052.0	1	0.000	236.000	232.000	555.000
MPZL1	ENSOART00000013270	chr1	117965298	118052518	+	3303.0	1	0.000	15.000	26.000	40.000
NCDN	ENSOART00000021237	chr1	10301134	10310473	+	4225.0	1	0.000	15.000	22.000	22.000
GRIK2	ENSOART00000012514	chr8	34945839	35404386	-	4604.0	1	0.000	0.000	0.000	0.000
ENSOARG00000017281	ENSOART00000018812	chr24	21297798	21325007	+	538.0	1	0.000	0.000	2.000	2.000
CHMP2A	ENSOART00000004329	chr14	62678568	62682604	-	2660.0	1	0.000	122.000	201.000	293.000
PVRIG	ENSOART00000018587	chr24	36073254	36076404	-	2769.0	1	0.000	83.000	5.000	172.000
HOTTIP_4	ENSOART00000023807	chr4	68824736	68826901	-	2165.0	1	0.000	0.000	0.000	0.000
AMBRA1	ENSOART00000003926	chr15	74628172	74765337	-	5680.0	1	0.000	3.000	0.000	0.000
ENSOARG00000023500	ENSOART00000025402	chr6	20851880	20853957	-	2077.0	1	0.000	0.000	0.000	0.000
TRMO	ENSOART00000012155	chr2	49454720	49470866	+	6418.0	1	0.000	14.000	44.000	66.000
ENSOARG00000000390	ENSOART00000000413	chrX	66666952	66671004	+	3859.0	1	0.000	1.000	3.000	3.000
ENSOARG00000002413	ENSOART00000002613	chrUn_JH921972	5743	8730	+	2848.0	1	0.000	0.000	0.000	0.000
