Gene name	Golden Hamster gene name
Tmem266	Tmem266
Oma1	Oma1
Cenph	Cenph
Borcs8	ENSMAUG00000006774
Ccr10	Ccr10
Timm10	Timm10
Zfp277	Zfp277
Plekhh3	Plekhh3
Rab1a	Rab1a
Fanca	Fanca
Srpr	Srpr
Dnajc19	Dnajc19
Atp2c2	Atp2c2
Olfr1101	
Nanos2	
Yipf3	Yipf3
Kctd21	Kctd21
Gadl1	Gadl1
Lonrf1	Lonrf1
Foxd1	
Sgo1	Sgo1
Akr1c20	ENSMAUG00000018006
Gosr1	Gosr1
AC153856.3	ENSMAUG00000013120
Hist1h4d	ENSMAUG00000018294
Gm14698	ENSMAUG00000015893
BC028528	BC028528
Fam212b	Fam212b
2210011C24Rik	2210011C24Rik
Foxred1	Foxred1
Epx	Epx
Sh3glb1	ENSMAUG00000008381
Alg8	Alg8
Zfp672	Zfp672
Gtf2a1l	Gtf2a1l
Hist1h2be	
Iqgap1	Iqgap1
Ppp4r2	Ppp4r2
Olfr555	
Csmd2	Csmd2
Stag3	ENSMAUG00000001028
Slco3a1	Slco3a1
Zfp444	Zfp444
Klb	Klb
Xaf1	
Ciart	ENSMAUG00000001664
Gm614	Gm614
Hist1h1e	Hist1h1e
Mcl1	Mcl1
Zfp692	Zfp692
Fer1l5	Fer1l5
Pkp2	Pkp2
Gm20458	
Gm20489	ENSMAUG00000011396
Mypop	Mypop
Il2rg	ENSMAUG00000011396
AC153856.4	ENSMAUG00000013120
Neurod2	Neurod2
Ighv3-6	
Trim32	Trim32
Gzma	Gzma
Ttc25	ENSMAUG00000006166
Morn3	Morn3
Fut1	Fut1
Ighv9-4	
Hdac10	Hdac10
Mto1	Mto1
Cntnap1	Cntnap1
Flrt2	Flrt2
F7	F7
Stard10	Stard10
Gm8773	
Olfr71	Olfr71
Dnpep	Dnpep
Plaur	
Prlr	ENSMAUG00000016749
Astn2	Astn2
Slc16a13	Slc16a13
Phf21b	Phf21b
Slc34a1	ENSMAUG00000013395
Bag2	Bag2
Igfbp6	Igfbp6
Hsd17b3	Hsd17b3
Rerg	Rerg
Itpr3	Itpr3
Atp5h	ENSMAUG00000000650
Rasgrp1	Rasgrp1
Ubr3	Ubr3
Dlx2	Dlx2
Olfr556	
Lman2l	Lman2l
Hmgb4	Hmgb4
Gkn2	Gkn2
Moxd1	Moxd1
Fscn2	Fscn2
Nectin2	Nectin2
Cnksr2	Cnksr2
Dusp27	Dusp27
Ighv3-8	
Msh2	Msh2
Trappc2l	Trappc2l
Atp6v0a2	ENSMAUG00000001507
Aqp1	Aqp1
Fpr3	ENSMAUG00000015712
Fpr2	ENSMAUG00000015712
Bicc1	Bicc1
Kcnk2	Kcnk2
Frrs1l	Frrs1l
Exph5	Exph5
Gm27021	ENSMAUG00000008776
Fpr-rs4	ENSMAUG00000000407
Fpr-rs4	ENSMAUG00000000841
Mga	Mga
Ghrhr	
Slc7a5	Slc7a5
Akna	Akna
Rars2	Rars2
Msi1	Msi1
Pou2f3	Pou2f3
Ighv12-3	
Aga	Aga
Kdelc2	Kdelc2
Slc4a10	Slc4a10
Tgfbr2	Tgfbr2
F10	
Tubb3	Tubb3
Olfr11	
B4galnt2	B4galnt2
Myo3a	ENSMAUG00000007073
Myo3a	ENSMAUG00000018624
Chd5	Chd5
Polr2k	ENSMAUG00000010288
Pfn3	Pfn3
Timm9	
Tomm40	Tomm40
Fbxo31	Fbxo31
Ube2j1	
Itk	Itk
Ppp1r12a	Ppp1r12a
BC030499	BC030499
Ggps1	
Iltifb	ENSMAUG00000012042
Sox13	Sox13
Pvrig	Pvrig
Brox	Brox
5730508B09Rik	5730508B09Rik
Zc2hc1b	Zc2hc1b
Tspan7	Tspan7
Rap1a	Rap1a
Aadat	Aadat
AC158600.5	ENSMAUG00000013120
2010300C02Rik	2010300C02Rik
Maip1	Maip1
Avil	Avil
AC158600.2	ENSMAUG00000013120
Tom1	Tom1
Lhx2	Lhx2
Esm1	Esm1
Ehmt1	Ehmt1
Il27ra	Il27ra
Gzmk	Gzmk
Arntl2	Arntl2
Tomm20l	Tomm20l
Tyw5	Tyw5
9230110C19Rik	9230110C19Rik
Def8	Def8
Parp12	ENSMAUG00000005236
Sdc1	SDC1
Unc5d	Unc5d
Trim68	Trim68
AC158600.1	ENSMAUG00000013120
Arid4b	ENSMAUG00000012797
Tcp11x2	Tcp11x2
Soat2	Soat2
Palm3	Palm3
Bcl2a1a	
Nadk	ENSMAUG00000002980
B3gnt6	B3gnt6
Igfbp7	Igfbp7
Wdr6	Wdr6
Dusp14	Dusp14
Ccdc127	Ccdc127
Fam124a	Fam124a
Tmsb4x	Tmsb4x
Acer3	Acer3
Bcl6b	Bcl6b
Dalrd3	Dalrd3
Faap100	Faap100
Aak1	Aak1
Cep126	Cep126
Gm4131	Gm4131
Zfp451	Zfp451
Cyp4a29	
Hsph1	Hsph1
Galp	Galp
Gkn3	Gkn3
Slc10a1	Slc10a1
Polr2b	Polr2b
Sharpin	
Neurod1	NEUROD1
Fbxo27	Fbxo27
Stau1	Stau1
Hmgxb4	ENSMAUG00000011338
Hmgxb4	ENSMAUG00000013765
Tdrd3	Tdrd3
Syde1	Syde1
Lrrc14b	Lrrc14b
AC158600.4	ENSMAUG00000013120
Gm10031	Gm10031
Cerkl	Cerkl
Ppp1r1b	Ppp1r1b
Cep89	Cep89
Apaf1	ENSMAUG00000007841
Ms4a14	Ms4a14
Prr3	Prr3
Cgref1	Cgref1
Aida	ENSMAUG00000014350
Aida	ENSMAUG00000008373
Gas2l1	Gas2l1
Cpeb2	ENSMAUG00000012556
Nr1h3	Nr1h3
Plin5	Plin5
Zfp397	Zfp397
Tsfm	Tsfm
Trim43b	
Frrs1	Frrs1
Agxt2	Agxt2
Olfr1104	Olfr1104
Emb	Emb
Drd2	Drd2
Olfr462	ENSMAUG00000007817
Gm43786	Gm43786
Hist1h2ac	
Eif2s2	Eif2s2
Preb	Preb
Kdm7a	Kdm7a
Tmem106a	Tmem106a
Sirt6	Sirt6
Irf2bp1	Irf2bp1
Gpr119	Gpr119
Gnl1	Gnl1
Foxa3	Foxa3
Gm10320	ENSMAUG00000020997
Ms4a7	Ms4a7
Gm21973	ENSMAUG00000016749
Nrgn	Nrgn
Prrc2c	ENSMAUG00000008963
Prrc2c	ENSMAUG00000013826
Prrc2c	ENSMAUG00000008172
Hist1h2bc	Hist1h2bc
Rwdd1	Rwdd1
Dennd4c	Dennd4c
Ccdc74a	Ccdc74a
Hk1	Hk1
Ctgf	Ctgf
Itga4	Itga4
Flt4	Flt4
Pdzrn3	Pdzrn3
Ppm1d	Ppm1d
Rnf43	Rnf43
Plac9a	ENSMAUG00000001932
Raly	Raly
Tfdp2	Tfdp2
Pdgfra	Pdgfra
Wasf1	Wasf1
Sh3bp5l	Sh3bp5l
Akr1c21	ENSMAUG00000003989
Akr1c21	ENSMAUG00000002003
Grin3a	Grin3a
Maged2	Maged2
Slc5a10	Slc5a10
Rfx4	Rfx4
Tmem204	Tmem204
Acpt	Acpt
Camk1d	Camk1d
Rasl10a	Rasl10a
C130060K24Rik	C130060K24Rik
Ift140	ENSMAUG00000022190
Ift140	ENSMAUG00000022008
Cd8b1	
Rarres2	Rarres2
Sec16b	Sec16b
AC166263.2	ENSMAUG00000022161
Ushbp1	Ushbp1
Gm15517	Gm15517
Tram1	Tram1
Ppp3r2	Ppp3r2
Epor	Epor
Olfm1	Olfm1
4930505A04Rik	4930505A04Rik
Rpl41	Rpl41
Fbxo39	Fbxo39
P4htm	P4htm
Tmem254a	ENSMAUG00000010787
1190005I06Rik	ENSMAUG00000008776
Tmem260	Tmem260
Lypd8	Lypd8
Lcn12	Lcn12
Olfr1245	
Fam192a	Fam192a
Adamtsl4	Adamtsl4
Hes1	Hes1
Gpa33	
Suco	Suco
Ifi205	ENSMAUG00000001345
Fam83g	Fam83g
Cfap69	ENSMAUG00000002116
Cfap69	ENSMAUG00000008916
Hadhb	Hadhb
Slc34a3	Slc34a3
Rnasek	ENSMAUG00000021868
Zcchc14	Zcchc14
Rbmx2	Rbmx2
Grap	Grap
Lrrc61	Lrrc61
Neil3	
0610010K14Rik	0610010K14Rik
Evi2b	ENSMAUG00000021786
Smoc1	Smoc1
Evi2	ENSMAUG00000021786
Cd59b	
Otud6b	Otud6b
Fxyd2	Fxyd2
Zscan5b	Zscan5b
Ankk1	
Pdhb	Pdhb
Olfr1360	
Fam20c	Fam20c
B9d2	B9d2
Adam18	Adam18
Omg	Omg
Zfp513	Zfp513
Mmachc	Mmachc
Chmp1a	Chmp1a
Evi2a	Evi2a
Snx31	Snx31
Yars2	Yars2
Klk7	Klk7
Bcl2a1b	
Rrs1	Rrs1
Acyp2	Acyp2
Stk17b	Stk17b
Zfp24	Zfp24
Mthfs	ENSMAUG00000000663
Olfr459	
Nf1	Nf1
Tmem55a	Tmem55a
AC158600.3	ENSMAUG00000013120
AC158600.6	ENSMAUG00000013120
Cdkn1a	Cdkn1a
Olfr557	
Lrrc15	ENSMAUG00000008538
Lrrc15	ENSMAUG00000019262
H2-Ob	H2-Ob
Pcnx3	ENSMAUG00000014632
Sympk	Sympk
Tex13c2	Tex13c2
Dab1	Dab1
Eif2b4	Eif2b4
Rbms3	Rbms3
Ndufv1	ENSMAUG00000000403
Ndufv1	ENSMAUG00000017366
Ttc12	Ttc12
Pla2g4c	Pla2g4c
Krt222	Krt222
Gm5294	Gm5294
Olfr1359	
Whrn	ENSMAUG00000006590
Whrn	ENSMAUG00000011035
Gm29094	
Cd82	Cd82
Pdgfa	Pdgfa
Cacfd1	Cacfd1
P2ry12	P2ry12
Foxf1	Foxf1
Dpf1	Dpf1
Slfnl1	Slfnl1
Necab1	Necab1
C8g	C8g
1700018B08Rik	1700018B08Rik
Ltv1	Ltv1
Sec24b	Sec24b
Hist1h1t	Hist1h1t
Hist1h4c	
Gpr171	Gpr171
Rabgap1	Rabgap1
Tspan14	Tspan14
Hnrnpu	Hnrnpu
Med12l	Med12l
Nphp4	Nphp4
Piezo1	Piezo1
Zbtb34	Zbtb34
Mfap3l	Mfap3l
Nipa2	ENSMAUG00000020484
Nipa2	ENSMAUG00000009514
Naca	ENSMAUG00000008420
Hfe	Hfe
a	a
Zfp740	Zfp740
Epb41l4b	
Il15ra	Il15ra
Tmem174	Tmem174
Fbxw5	Fbxw5
Zfp385c	Zfp385c
Rln3	Rln3
Slc43a1	Slc43a1
Fam26e	Fam26e
Olfr430	Olfr430
Tmsb15a	
Ifng	Ifng
Fam26d	Fam26d
Nkiras2	Nkiras2
Ipo4	Ipo4
Aebp2	ENSMAUG00000014717
Trappc3l	ENSMAUG00000004214
Eef1a1	Eef1a1
Rfx1	Rfx1
Olfr558	Olfr558
Mapk8	Mapk8
Abl2	Abl2
Rasip1	ENSMAUG00000012175
Tlr8	Tlr8
Kcnab2	Kcnab2
Cphx1	
Arih2	Arih2
Mid1ip1	Mid1ip1
Fubp3	Fubp3
Fstl5	Fstl5
Gm21988	ENSMAUG00000021868
Rspry1	Rspry1
Ighv8-2	
Dnajc7	Dnajc7
Tlr7	Tlr7
Nos3	Nos3
Spag8	Spag8
Shpk	Shpk
Wisp1	
Sox1	Sox1
Cd59a	
Cox20	Cox20
Ankrd54	Ankrd54
Izumo1	Izumo1
Tsga10	Tsga10
Nup133	Nup133
Olfr429	
Rab20	Rab20
Cyb5d2	
Slc2a1	Slc2a1
Abca13	
Gprasp1	
Amotl2	ENSMAUG00000018581
Spaar	
Babam1	Babam1
Tank	Tank
Igsf10	Igsf10
Sh2d1a	Sh2d1a
Inhbb	Inhbb
Ntng1	Ntng1
Ndufc2	Ndufc2
Prr30	Prr30
Ralb	
Itga6	Itga6
Snx17	Snx17
Prl2b1	Prl2b1
Tnip3	Tnip3
Oaf	Oaf
Tmem45b	Tmem45b
Bhlhb9	Bhlhb9
Dnal1	Dnal1
Chil5	ENSMAUG00000014307
Gpr87	Gpr87
P2ry14	P2ry14
Vps9d1	Vps9d1
Dock4	Dock4
Atg9b	Atg9b
Spaca7	
Tenm1	Tenm1
Mael	Mael
Dbx2	
Ppp1r26	Ppp1r26
Olfr463	ENSMAUG00000007817
Pifo	Pifo
Kcnd1	Kcnd1
Dnaaf5	Dnaaf5
Tm9sf1	Tm9sf1
Ptpro	Ptpro
Cnp	Cnp
P2ry13	P2ry13
Sap18b	
Nop58	Nop58
Tmem185b	
Gprasp2	
Dnajb12	Dnajb12
Olfr464	Olfr464
Prrc2a	Prrc2a
Pip	
Ugt2b36	ENSMAUG00000006916
Ugt2b36	ENSMAUG00000001163
Ugt2b36	ENSMAUG00000007525
Clk2	Clk2
Dhx58	Dhx58
Eml5	Eml5
Strbp	Strbp
Bbox1	Bbox1
Ankrd34b	Ankrd34b
Pnma1	Pnma1
Begain	Begain
Cyp4a12a	ENSMAUG00000021832
Zfyve9	Zfyve9
Reg3d	INGAP
Tekt1	
Aff2	Aff2
Zzef1	
Cyp4a12b	ENSMAUG00000021832
Gad2	Gad2
Igf2bp1	
Xpo6	Xpo6
Prkar1b	Prkar1b
Itpr2	Itpr2
Cpd	Cpd
Atp13a3	Atp13a3
Ephx3	Ephx3
Etfa	Etfa
Zfyve19	Zfyve19
Olfr78	Olfr78
Adora3	Adora3
Prps2	Prps2
Cadm4	ENSMAUG00000009209
Tmigd3	Tmigd3
Ltbp4	ENSMAUG00000020437
Maf1	Maf1
Tgfb1	Tgfb1
A930018P22Rik	A930018P22Rik
Tmem171	Tmem171
Eva1b	Eva1b
Reg3a	ENSMAUG00000009913
Lpcat1	Lpcat1
Slc35d2	Slc35d2
Pcnt	Pcnt
Serpinb6e	ENSMAUG00000009098
Serpinb6e	ENSMAUG00000001093
Ptges3	Ptges3
Zfp276	Zfp276
Hdac3	Hdac3
Tspan5	Tspan5
Scn1b	Scn1b
Ralgapb	Ralgapb
Frmpd4	Frmpd4
6430573F11Rik	6430573F11Rik
Dytn	Dytn
Yy1	Yy1
Usp7	ENSMAUG00000008233
Ndst2	Ndst2
Hist1h2ai	
Det1	Det1
Ubac1	Ubac1
Hist1h3h	Hist1h3h
Gpr21	
Dnajc17	Dnajc17
Tesk2	Tesk2
Hist1h2bm	
Serpinb6c	ENSMAUG00000009098
Serpinb6c	ENSMAUG00000001093
Zc3h14	Zc3h14
Armcx5	Armcx5
Fbxo17	Fbxo17
Ino80c	Ino80c
4930550C14Rik	4930550C14Rik
Eqtn	Eqtn
5031439G07Rik	5031439G07Rik
Reg2	Reg2
Slc25a20	Slc25a20
Sphkap	Sphkap
Olfr1246	
Hsd17b14	
Gm14137	Gm14137
6430548M08Rik	ENSMAUG00000001402
Ndnf	Ndnf
Krt24	Krt24
Nploc4	Nploc4
Zbtb32	ENSMAUG00000020943
Ankle1	Ankle1
Ddx27	Ddx27
Epp13	Epp13
Hsf2	Hsf2
Prkar2a	Prkar2a
Tsacc	Tsacc
Psd2	Psd2
Dtnbp1	Dtnbp1
Grm5	Grm5
Gpr6	Gpr6
Bloc1s5	Bloc1s5
Abcc12	Abcc12
Laptm4a	Laptm4a
Toe1	Toe1
Gm38392	ENSMAUG00000009341
Akr1e1	Akr1e1
Rhbg	ENSMAUG00000009341
Slc15a2	ENSMAUG00000017415
Rgs1	Rgs1
Cfap54	ENSMAUG00000018845
Ptprc	Ptprc
Ighv1-4	ENSMAUG00000005010
Fbxo11	Fbxo11
Dtd2	Dtd2
Tbc1d4	Tbc1d4
F2	F2
Epb41l5	ENSMAUG00000016481
Arid2	Arid2
Klk6	Klk6
Fgd4	Fgd4
Ndrg1	
Mdh1b	Mdh1b
Eif4a2	Eif4a2
Proz	Proz
Pou3f3	Pou3f3
Fat1	Fat1
Cd8a	Cd8a
Pld4	Pld4
AF529169	AF529169
Srpk3	Srpk3
Ccdc158	Ccdc158
Spata16	Spata16
Prdm5	Prdm5
Ip6k2	Ip6k2
D3Ertd751e	D3Ertd751e
Chrm3	Chrm3
Tmed3	Tmed3
Ccdc163	Ccdc163
9330182L06Rik	9330182L06Rik
Ccnb1	ENSMAUG00000015762
Ccnb1	Ccnb1
Sult1c2	Sult1c2
Fig4	Fig4
Mrps12	Mrps12
Fam109a	Fam109a
Upk1a	Upk1a
Ssbp3	Ssbp3
Cylc2	
Reg1	
F12	F12
Slc38a7	Slc38a7
Zbtb43	Zbtb43
Kcnq1	Kcnq1
Dnah10	Dnah10
Ppp2ca	Ppp2ca
Slc17a6	Slc17a6
Nckipsd	Nckipsd
Ano7	Ano7
Clec7a	Clec7a
Spata2l	Spata2l
Reg3g	Reg3gamma
AC069561.5	ENSMAUG00000000667
Brd4	Brd4
Ankrd34c	Ankrd34c
Car5a	Car5a
Bcam	Bcam
H2-T23	H2-T23
Matn3	Matn3
Gle1	Gle1
Cep57	Cep57
Adgra3	Adgra3
Otx2	Otx2
Arhgef25	ENSMAUG00000016660
Tjap1	Tjap1
Caps2	Caps2
Gnl3l	Gnl3l
Emc8	Emc8
Arl11	
Cars2	ENSMAUG00000019820
Cars2	ENSMAUG00000020333
Phactr2	Phactr2
Zfp768	Zfp768
Sun1	Sun1
Ecm1	Ecm1
Cfap44	Cfap44
Tmem87b	Tmem87b
Drc3	Drc3
H2-T22	
Ms4a4a	Ms4a4a
Olfr156	ENSMAUG00000008725
Urb2	Urb2
Ms4a4c	
Fibin	Fibin
2700049A03Rik	
Msl3	Msl3
Slc37a3	ENSMAUG00000008464
Slc37a3	ENSMAUG00000003611
Olfr1247	
Klhl22	Klhl22
Mfn2	Mfn2
Gas8	Gas8
Ercc6l2	ENSMAUG00000004820
Tex43	Tex43
Psmd11	Psmd11
Nfxl1	Nfxl1
Ugt2b5	ENSMAUG00000006916
Ugt2b5	ENSMAUG00000001163
Ugt2b5	ENSMAUG00000007525
Spdl1	ENSMAUG00000016538
Naxd	Naxd
Enpp1	Enpp1
Fastkd2	Fastkd2
Nrxn1	ENSMAUG00000010637
Nrxn1	ENSMAUG00000009040
Nrxn1	ENSMAUG00000011549
Nrxn1	ENSMAUG00000003588
Nrxn1	ENSMAUG00000016648
Foxc2	Foxc2
Osbpl11	Osbpl11
Dut	Dut
Zfpm1	Zfpm1
Uqcc2	ENSMAUG00000015225
Pa2g4	ENSMAUG00000011829
Strc	Strc
Rab12	Rab12
Gpr33	Gpr33
Gcnt1	Gcnt1
Pabpc1	Pabpc1
Adig	Adig
Mthfsd	Mthfsd
Bmp10	Bmp10
Zfp428	Zfp428
Maea	Maea
Arhgap40	Arhgap40
Sh3d21	Sh3d21
Ugt2b37	ENSMAUG00000006916
Ugt2b37	ENSMAUG00000001163
Ugt2b37	ENSMAUG00000007525
Ryk	Ryk
Atxn7l1	Atxn7l1
Ntrk2	Ntrk2
Ckmt1	Ckmt1
Tead4	ENSMAUG00000017829
Lmnb1	Lmnb1
Prep	Prep
Gramd1a	ENSMAUG00000021884
Sipa1l3	Sipa1l3
Rab44	Rab44
Epha6	Epha6
Enox2	Enox2
Rfc4	Rfc4
Cux2	Cux2
Zfp667	Zfp667
Selenok	Selenok
Fgfbp3	Fgfbp3
Gabrr2	
Usp11	ENSMAUG00000011291
Usp11	ENSMAUG00000009476
Thrsp	Thrsp
Btaf1	Btaf1
Palmd	Palmd
4933405L10Rik	4933405L10Rik
Nubpl	Nubpl
Gm11634	ENSMAUG00000001260
Adcyap1r1	Adcyap1r1
Hint2	Hint2
Klk5	Klk5
Enkd1	Enkd1
Kctd14	Kctd14
Supt20	ENSMAUG00000014984
Nutm2	Nutm2
Pid1	Pid1
Ftl1-ps1	ENSMAUG00000008208
Ftl1-ps1	ENSMAUG00000012878
Ftl1-ps1	ENSMAUG00000017277
Themis2	Themis2
Isl2	Isl2
AC165366.1	
Tada2a	Tada2a
Idh3g	Idh3g
Dlc1	Dlc1
Lactb2	Lactb2
Fam26f	Fam26f
Fn1	Fn1
Rfk	Rfk
Tas2r139	
Ap3d1	Ap3d1
Tas2r144	
Lmx1b	Lmx1b
Aen	Aen
Dynll2	Dynll2
Zfp747	ENSMAUG00000017075
Ip6k3	Ip6k3
Pcid2	Pcid2
Irgq	Irgq
D430041D05Rik	D430041D05Rik
Galc	Galc
Irx5	Irx5
Abcb10	Abcb10
Rasgrf1	Rasgrf1
Gstk1	Gstk1
Rnf224	Rnf224
Cenpf	Cenpf
Duxbl1	ENSMAUG00000015071
Siae	Siae
Znfx1	Znfx1
Krt25	Krt25
G6pdx	ENSMAUG00000008547
Esr2	ENSMAUG00000019282
Foxl1	Foxl1
Bend6	Bend6
Otud5	Otud5
Pla2g1b	Pla2g1b
Rnf166	Rnf166
Olfr1248	
Atm	Atm
Zfp583	Zfp583
Pinlyp	
Tmem64	Tmem64
Rgl3	Rgl3
Rtbdn	
Ugt2a3	Ugt2a3
Vegfc	Vegfc
Dgcr2	ENSMAUG00000016026
Ahnak2	
Rpl13	
Xkr9	Xkr9
Cysrt1	Cysrt1
Slc17a5	Slc17a5
Slc7a9	Slc7a9
Popdc3	ENSMAUG00000001250
Popdc3	ENSMAUG00000000723
Tlr4	Tlr4
H2-Ab1	H2-Ab1
Ikbkg	Ikbkg
Ighv1-7	ENSMAUG00000005010
Ubl7	Ubl7
Smtnl2	
Rnf208	Rnf208
Dyrk2	Dyrk2
Polr3e	Polr3e
Wnt2	Wnt2
Acta1	Acta1
Grm4	Grm4
Nacc2	Nacc2
Snx18	Snx18
Trpv1	ENSMAUG00000008181
Slc30a9	Slc30a9
I830077J02Rik	I830077J02Rik
Gstp1	Gstp1
Ebpl	
Ccdc92	Ccdc92
BC022687	BC022687
Tcf25	Tcf25
Scgb3a1	Scgb3a1
Slc32a1	Slc32a1
Slc25a29	
Klk4	Klk4
Wdr35	Wdr35
Asb5	Asb5
Sirt4	Sirt4
9030624G23Rik	ENSMAUG00000000974
9030624G23Rik	ENSMAUG00000005450
9030624G23Rik	ENSMAUG00000006579
9030624G23Rik	ENSMAUG00000021650
Exosc8	Exosc8
Spa17	Spa17
Trim29	Trim29
Apbb1ip	Apbb1ip
Dse	Dse
Olfr1249	
Hist1h1c	Hist1h1c
1700017N19Rik	ENSMAUG00000008756
Pcdh20	ENSMAUG00000011323
Ostf1	Ostf1
Sult1c1	Sult1c1
Olfr1250	
Myo3b	Myo3b
Tsr2	Tsr2
Fam213a	Fam213a
Spata4	Spata4
Tspan10	
Olr1	Olr1
Arhgap5	Arhgap5
Tbrg1	Tbrg1
Kpna3	Kpna3
Elmsan1	Elmsan1
Serpinb6a	ENSMAUG00000009098
Serpinb6a	ENSMAUG00000001093
Mysm1	Mysm1
1700093K21Rik	1700093K21Rik
Abhd8	Abhd8
Slc12a8	Slc12a8
Arhgap6	ENSMAUG00000020963
Boc	Boc
Uvssa	Uvssa
Gm20518	ENSMAUG00000016026
Fgd1	Fgd1
Plod1	Plod1
Ildr2	Ildr2
Gsg1l2	
Bcat2	Bcat2
Fam151b	Fam151b
Slc5a12	Slc5a12
Telo2	
Smco2	Smco2
Gabrr1	Gabrr1
Olfr1251	
Rhof	Rhof
Slit3	Slit3
Gm35339	Gm35339
Relt	Relt
Zc3h11a	ENSMAUG00000014663
Adamts6	
Srsf1	Srsf1
Dhrs7c	Dhrs7c
Gas2	Gas2
Tmem120b	Tmem120b
1700088E04Rik	1700088E04Rik
Olfr157	ENSMAUG00000008725
Cd109	Cd109
Lrrtm4	Lrrtm4
Prpsap2	Prpsap2
Mamstr	Mamstr
Ajap1	Ajap1
Got2	Got2
Ric8b	Ric8b
Klk1b1	ENSMAUG00000004339
Barx2	Barx2
Gm38394	
Echdc2	ENSMAUG00000013333
Agbl3	ENSMAUG00000002354
Casp2	Casp2
Olfr1111	
Klk1b8	ENSMAUG00000004339
Actr5	Actr5
1700007K13Rik	
Pawr	
Fancf	
Tmem161a	Tmem161a
Olfr1357	
Klk15	Klk15
Ints4	Ints4
Cdca4	ENSMAUG00000010437
Irx6	Irx6
Zbed6	
March3	March3
Ggt6	
Cnot6	Cnot6
Mylip	Mylip
Ttc39c	Ttc39c
Olfr1252	
Cntn6	Cntn6
Ints6	Ints6
Klk1b9	ENSMAUG00000004339
Hpf1	Hpf1
Zfyve16	Zfyve16
Qtrt1	Qtrt1
Swt1	Swt1
Amelx	Amelx
Dcaf17	Dcaf17
Prmt6	
Map7d3	Map7d3
Xrcc1	Xrcc1
Atp5b	
Slc25a47	Slc25a47
Spata5	Spata5
Gpr132	Gpr132
A430005L14Rik	A430005L14Rik
St6gal2	St6gal2
Dnmt1	Dnmt1
Cdkn1c	Cdkn1c
Usp21	Usp21
9130019O22Rik	ENSMAUG00000017075
Mrps9	Mrps9
Grn	Grn
Ripk1	Ripk1
Mta2	Mta2
Des	DES
Olfr125	
Gm1673	ENSMAUG00000019500
Tor3a	Tor3a
Pcdh9	Pcdh9
Tmigd1	ENSMAUG00000021264
Ighv15-2	
Hist1h2bb	Hist1h2bb
Mrc2	Mrc2
Gstp2	Gstp1
Smc2	ENSMAUG00000006240
Smc2	ENSMAUG00000014437
Dffb	Dffb
Pm20d2	
Rgs21	Rgs21
Ighv1-9	ENSMAUG00000005010
H2-Aa	H2-Aa
Dok3	Dok3
Mrpl34	Mrpl34
Nmrk1	Nmrk1
Zfp825	
Olfr566	
Pde6g	
Cfap161	Cfap161
Tnfaip8l1	Tnfaip8l1
Foxn2	ENSMAUG00000018996
Calb1	Calb1
Alox5	Alox5
Dner	
Slc35e2	Slc35e2
Brinp1	Brinp1
Atxn1	Atxn1
Tsku	Tsku
Sox2	Sox2
Oxld1	Oxld1
Psme4	Psme4
Car14	Car14
Wiz	ENSMAUG00000020479
Sox2ot	
Fuca2	Fuca2
Ctsc	Ctsc
Ppp1r16b	
Galnt1	ENSMAUG00000012472
Galnt1	ENSMAUG00000013186
Galnt1	ENSMAUG00000016647
Hspb3	Hspb3
2510039O18Rik	2510039O18Rik
Krt26	Krt26
Hccs	Hccs
Nqo2	Nqo2
Ano8	Ano8
C8b	C8b
Fam171a2	Fam171a2
Il17c	Il17c
Slc30a5	Slc30a5
Klrg1	Klrg1
Rassf10	Rassf10
Pxn	Pxn
Hist1h2ab	
Aph1a	Aph1a
Dbndd1	Dbndd1
Them4	
Wdr77	Wdr77
Thrap3	Thrap3
Gm3854	
Fgf2	Fgf2
Krt27	Krt27
Slc24a4	Slc24a4
Lrrc40	Lrrc40
Nfu1	Nfu1
Gmpr	Gmpr
Ywhaz	Ywhaz
Osbpl3	ENSMAUG00000015153
Gfod2	Gfod2
Col25a1	Col25a1
Cdk11b	
Dda1	Dda1
Olfr918	ENSMAUG00000009014
Hyou1	Hyou1
Strip2	ENSMAUG00000010657
Olfr1253	
Apoa1	APOAI
Hsd17b12	Hsd17b12
Galns	Galns
E430018J23Rik	ENSMAUG00000017075
Mvb12b	ENSMAUG00000012172
Tmem52b	Tmem52b
Slco2a1	Slco2a1
Arhgap25	Arhgap25
Cd34	Cd34
Pbx4	Pbx4
Aif1	ENSMAUG00000001604
Ndor1	ENSMAUG00000000395
Vldlr	ENSMAUG00000000690
Rsph14	Rsph14
Fbln7	Fbln7
Rgs18	ENSMAUG00000000405
Ovgp1	
Kcnc2	
Olfr568	
Alox15	
Aprt	ENSMAUG00000021299
Aprt	ENSMAUG00000012918
Mapkbp1	ENSMAUG00000018864
Erich3	ENSMAUG00000000118
C1qtnf7	C1qtnf7
Junb	Junb
Acsm2	Acsm2
Rnaseh2a	ENSMAUG00000008286
Rnaseh2a	ENSMAUG00000021740
Nudt6	Nudt6
Ppp1r8	Ppp1r8
Spryd7	Spryd7
Gnaz	Gnaz
Isg20	ENSMAUG00000015001
Olfr1254	
Bves	ENSMAUG00000001250
Bves	ENSMAUG00000000723
Tulp3	Tulp3
Sars2	Sars2
Zfp664	Zfp664
Olfr1255	
Abcc10	Abcc10
Zfp408	Zfp408
Pnma2	
Cyp4a30b	
