Gene name	BMR gene name
Zfp821	Zfp821
Cyp4f14	Cyp4f14
Fra10ac1	Fra10ac1
Mmachc	Mmachc
Cd79b	Cd79b
Rhou	Rhou
Dazap2	
Prkcsh	Prkcsh
Vps37a	Vps37a
Entpd7	Entpd7
Slurp1	Slurp1
Irgm1	Irgm1
Gm1043	Gm1043
C3ar1	C3ar1
Gm10282	
Lrrc4b	Lrrc4b
Zfp532	
Fgf13	Fgf13
Olfr151	
Olfr93	
Mmp15	Mmp15
E130218I03Rik	E130218I03Rik
Poldip2	Poldip2
Man1a2	Man1a2
G6pc3	G6pc3
Alox5	Alox5
Pttg1ip	Pttg1ip
Rpl37a	Rpl37a
Zfp385c	Zfp385c
Asxl3	Asxl3
Gdap1	Gdap1
Ublcp1	Ublcp1
Srsf11	Srsf11
Hck	Hck
1700067P10Rik	
Hnrnph1	Hnrnph1
Ccl21a	
Cflar	Cflar
Dcun1d1	
Dip2c	Dip2c
Phyhip	Phyhip
Cog2	
Rgs20	Rgs20
Ppargc1a	Ppargc1a
Asxl1	Asxl1
Ntrk3	Ntrk3
Macrod2	
Necab2	Necab2
Syap1	Syap1
Spink1	Spink1
Ralgps2	Ralgps2
Sdc4	Sdc4
Recql	
Slc39a12	Slc39a12
Ybx2	Ybx2
Chd7	Chd7
Mroh2a	Mroh2a
Kmt2e	Kmt2e
Gm22786	RF00568
Tdrd5	Tdrd5
Nkx1-1	Nkx1-1
Katnbl1	Katnbl1
Gm24872	RF00105
Slc14a1	Slc14a1
Mterf1a	
Pou4f2	Pou4f2
Mcoln2	Mcoln2
Adm	Adm
Tm9sf3	Tm9sf3
Tnfrsf23	
Kif26b	
Lrrc15	Lrrc15
Bod1l	
Sult6b1	Sult6b1
Mtfr1l	Mtfr1l
Cd53	Cd53
Zdhhc14	Zdhhc14
Olfr1118	
Luc7l2	Luc7l2
Dpep1	
Ifna12	
Apc	Apc
Ift140	
Erlin2	Erlin2
Gm20671	
Zfp65	
Arap2	Arap2
Olfr295	
P3h3	P3h3
Rnls	Rnls
Mobp	Mobp
Cwc15	Cwc15
Gm28729	Gm28729
Ces2f	
Gkn3	Gkn3
Gmfg	Gmfg
Cyp2c29	
Trim71	Trim71
Dnaaf1	Dnaaf1
Olfr736	
Slc7a11	Slc7a11
Alg3	Alg3
Mrpl15	Mrpl15
Panx2	Panx2
Gm38100	Gm38100
Cend1	
Wdr5b	Wdr5b
Prpf39	Prpf39
Znhit3	Znhit3
Inpp1	Inpp1
Klrk1	Klrk1
Mrps14	Mrps14
Map2k5	Map2k5
Hsd17b3	Hsd17b3
Ddhd2	Ddhd2
Rnpc3	Rnpc3
Slc20a1	Slc20a1
Rp2	Rp2
Itih3	Itih3
Arrb1	Arrb1
Rdh11	Rdh11
Nr1h3	Nr1h3
Nsf	Nsf
Gga1	
Srsf7	Srsf7
Tdh	Tdh
Ces4a	Ces4a
Atp13a2	Atp13a2
Snora2b	RF00410
Pgap1	Pgap1
Rgs19	Rgs19
Epm2a	Epm2a
Ip6k2	Ip6k2
Foxp1	Foxp1
Atp6v1fnb	Atp6v1fnb
Fcrlb	Fcrlb
Cdh12	Cdh12
Itgb1	
Zbtb44	Zbtb44
Tbc1d22b	Tbc1d22b
Gria3	Gria3
Nme7	Nme7
Myl7	Myl7
Sdhd	Sdhd
Wnt9a	Wnt9a
Gm22627	RF00105
Selenoo	Selenoo
Wnt5a	Wnt5a
Pld1	Pld1
Cpe	Cpe
Asns	Asns
Ate1	Ate1
Pard6b	Pard6b
Slc9a3r2	Slc9a3r2
Apol8	Apol8
Asb18	
Ctrb1	Ctrb1
Cpeb2	
Herc4	Herc4
H2-Eb2	H2-Eb2
Hells	Hells
Ccnq	Ccnq
Hoxc6	Hoxc6
Slc25a21	Slc25a21
Il2ra	Il2ra
Ccdc60	Ccdc60
Bivm	Bivm
Pycard	Pycard
Tmem33	Tmem33
St13	
Nkx3-2	Nkx3-2
Arhgef39	Arhgef39
Ptpru	Ptpru
Cdh20	Cdh20
Net1	Net1
Arhgap10	Arhgap10
Tspan4	Tspan4
Rfc1	Rfc1
Nsmce2	
Ddb1	Ddb1
Mir1247	Mir1247
Tbl1xr1	Tbl1xr1
Rhbdl3	Rhbdl3
Mgarp	
Syngr2	Syngr2
Rbp4	Rbp4
Card10	Card10
Lemd1	Lemd1
Zdhhc6	Zdhhc6
B3gnt6	B3gnt6
Gm7971	
Crabp1	Crabp1
Map4k1	Map4k1
Gpr18	Gpr18
BC028528	BC028528
Kcnh7	Kcnh7
Dlk2	Dlk2
Kif23	Kif23
Cdipt	Cdipt
Ocel1	
Perm1	Perm1
Pianp	Pianp
Mapk8ip2	Mapk8ip2
Olfr10	
Lamc3	Lamc3
Ctdsp2	Ctdsp2
Sash1	
Sh3glb2	Sh3glb2
D130040H23Rik	
Olfr394	
Gm22589	RF00137
Crybg1	Crybg1
Myt1	Myt1
Lactb2	Lactb2
Tmem184a	
Igsf8	Igsf8
Diexf	Diexf
Vps13b	Vps13b
Lypd1	Lypd1
Pitrm1	Pitrm1
Gm6563	
Polr2i	Polr2i
AV320801	
Cfap206	Cfap206
Pgk1	
Plpp7	Plpp7
Snord78	RF00592
Awat1	Awat1
Mir412	Mir412
Hmbs	Hmbs
Olfr1205	
Zhx2	Zhx2
Khdc4	Khdc4
Htr4	Htr4
Gale	Gale
Fxn	Fxn
Ttpal	Ttpal
Fmn1	Fmn1
Ddr2	Ddr2
Tmem242	Tmem242
Olr1	
Mxd1	Mxd1
Wipf2	Wipf2
Slc25a51	Slc25a51
Ppp3cc	Ppp3cc
Dpep3	Dpep3
Irx6	Irx6
2310033P09Rik	2310033P09Rik
Rangrf	Rangrf
Gstp2	
Rbm11	Rbm11
Slmap	
Zfp81	
Lrrc72	Lrrc72
Spink2	Spink2
Vwa8	Vwa8
Nhlrc3	Nhlrc3
Lime1	Lime1
Hgf	Hgf
Kdm5b	Kdm5b
Arhgef10	Arhgef10
Mrpl27	Mrpl27
Rbm34	Rbm34
Cant1	Cant1
Cadm1	Cadm1
Txlng	
Med28	Med28
Klk5	Klk5
Rps28	
Olfr978	
Uba5	Uba5
Pdcd6ip	Pdcd6ip
Slc35e3	Slc35e3
Ednrb	Ednrb
Polr3b	Polr3b
Ccdc178	Ccdc178
1700037H04Rik	1700037H04Rik
Akr1b10	
Olfr577	Olfr577
Hsdl2	Hsdl2
Bzw1	Bzw1
Glipr1l2	Glipr1l2
Spin1	Spin1
Mcrip1	Mcrip1
Nhlrc2	Nhlrc2
Gpr45	Gpr45
Acbd7	Acbd7
Gzmd	
4930447C04Rik	4930447C04Rik
Lnx2	Lnx2
Eif1a	Eif1a
Galk1	Galk1
Mau2	Mau2
Cdk5rap2	
Ckap4	Ckap4
Olfr521	
Lyzl6	Lyzl6
Mybbp1a	Mybbp1a
Ap3s1	Ap3s1
Ube2l3	Ube2l3
Kif16b	Kif16b
Mill1	
Ano9	Ano9
Hecw2	Hecw2
Sycp1	Sycp1
Sox11	Sox11
Uhrf1bp1l	Uhrf1bp1l
Mdm1	Mdm1
Gm3259	
Minar2	Minar2
Rab29	Rab29
Prss41	Prss41
Olfr1020	
Wdr38	
Gm26366	RF00105
Aldh1l1	Aldh1l1
Fam71b	Fam71b
Prodh	Prodh
Esco2	Esco2
Adnp2	Adnp2
Gm9048	
Spdya	Spdya
Sidt2	Sidt2
Ppfia1	Ppfia1
Taf1b	Taf1b
Ostn	Ostn
Majin	Majin
Dennd4c	Dennd4c
Dscaml1	Dscaml1
Ttc6	Ttc6
Crlf3	Crlf3
Ifit1bl2	
Spert	Spert
Psmb4	Psmb4
Exph5	Exph5
Hba-a1	
Slc2a2	Slc2a2
Htt	Htt
Cd74	Cd74
P2ry12	P2ry12
Rbmxl1	
Cyb5r1	Cyb5r1
Phf21b	Phf21b
Cacna1c	Cacna1c
Gm26938	
Adk	Adk
Nit2	Nit2
Nfatc2	Nfatc2
Pcdha11	
Hist2h3b	
Fam205a1	
Ston1	Ston1
Prrx1	Prrx1
Xrcc1	Xrcc1
Srfbp1	Srfbp1
Lgi3	Lgi3
Olfr1436	
Il18bp	Il18bp
Oxa1l	Oxa1l
Pcdha6	Pcdha6
Pak4	Pak4
Maoa	Maoa
Msrb1	Msrb1
Mtmr11	Mtmr11
Adam25	
Lin52	Lin52
Cldnd2	Cldnd2
Sdccag8	Sdccag8
Ltn1	
Hif3a	Hif3a
Gm25146	RF00105
Fgfr1op2	
Ssmem1	Ssmem1
Chgb	Chgb
Zkscan1	Zkscan1
D10Wsu102e	D10Wsu102e
Tssk2	Tssk2
Mpeg1	Mpeg1
Fastkd1	Fastkd1
9830107B12Rik	
Casr	Casr
Ifnab	
Cops8	Cops8
Pum2	
Setd1a	
Cd177	Cd177
Ccdc188	
Ramp2	Ramp2
Vps26c	Vps26c
Deptor	Deptor
Gm24983	RF00105
Clcf1	Clcf1
Wdr48	Wdr48
Spdye4b	
Mrps23	Mrps23
Phtf1	Phtf1
Vstm2a	Vstm2a
Jam2	Jam2
Cog3	Cog3
Gm45808	
Slc39a4	Slc39a4
Olfr338	
Kcnj13	Kcnj13
Galnt13	Galnt13
Inpp5d	Inpp5d
Wfdc9	Wfdc9
Fzd7	Fzd7
Clgn	Clgn
Mettl7a2	
Dnm3	Dnm3
Arg2	Arg2
Myog	Myog
Tbxas1	Tbxas1
1700019D03Rik	1700019D03Rik
Tsen34	Tsen34
Krtap2-4	
Gm26488	RF00105
Plscr4	Plscr4
Marf1	Marf1
Zfp658	Zfp658
Gm25221	RF00105
Snx24	Snx24
Flvcr2	
Nsg2	Nsg2
Olfr1117-ps1	
Duox2	Duox2
Syne3	Syne3
Oas1c	
Fam3c	Fam3c
Trim68	Trim68
Cep78	Cep78
Psmd10	Psmd10
2610528A11Rik	2610528A11Rik
Henmt1	Henmt1
Desi1	Desi1
Car9	Car9
Krtap8-1	Krtap8-1
Tas2r115	
Prelid3a	
Gramd4	Gramd4
Il10ra	Il10ra
Bcas1	Bcas1
Pgrmc2	Pgrmc2
Mylk4	Mylk4
2010109I03Rik	2010109I03Rik
Tnfrsf9	Tnfrsf9
Ifit1bl1	
Reln	Reln
Fam53c	Fam53c
Hcfc1	Hcfc1
Entpd5	Entpd5
Klhdc9	Klhdc9
Rc3h2	
Eif3l	Eif3l
Gpr108	Gpr108
Nup98	
Slc35f5	Slc35f5
Myl6b	Myl6b
Fam71f2	Fam71f2
Lcorl	
Ecd	Ecd
Smad1	Smad1
Slc39a9	Slc39a9
Armh4	Armh4
Prr23a3	
Slc16a12	Slc16a12
Sec1	Sec1
Krtap27-1	Krtap27-1
Rwdd3	
Scn5a	Scn5a
Nr2c2ap	Nr2c2ap
Zfp788	Zfp788
Lcn8	Lcn8
Cnih2	Cnih2
Slc2a13	Slc2a13
Cfap161	Cfap161
Tbx20	Tbx20
1110008P14Rik	1110008P14Rik
Slc39a8	Slc39a8
Gm42417	Ankrd23
Pax7	Pax7
Gm22391	RF00105
Npffr2	Npffr2
Epha2	Epha2
Ankrd36	
Pibf1	Pibf1
Gm27699	RF01887
Trafd1	Trafd1
Timm23	
Cetn2	Cetn2
Hpf1	Hpf1
Vmn1r43	
Tmem115	Tmem115
Jph3	Jph3
Iqcg	Iqcg
Tnfaip8l1	Tnfaip8l1
Gm10697	
Plxna2	Plxna2
Cox7b	
Cd247	Cd247
Vasn	Vasn
Mc1r	Mc1r
Trip13	Trip13
Abca6	Abca6
Zfp92	Zfp92
Kif13a	Kif13a
Pdha1	Pdha1
Slc26a9	Slc26a9
Vill	
Snord91a	RF00580
Ky	Ky
Ethe1	Ethe1
Fam83a	Fam83a
Adgrl1	Adgrl1
Neu1	Neu1
Gm128	Gm128
Ldhd	Ldhd
Gm3336	
2310057N15Rik	
Olfr1269	
Clip2	Clip2
Apod	Apod
Nipsnap3b	Nipsnap3b
Ap5m1	Ap5m1
Fem1b	
Gm25934	RF00105
Nox3	Nox3
Tmem50a	Tmem50a
P2ry14	P2ry14
Ugt8a	
Sft2d2	Sft2d2
Trim59	Trim59
Vmn1r42	
Gabpb2	
Fh1	Fh1
Adgrf2	Adgrf2
Sbsn	
Pde4a	Pde4a
Mt1	
Ccdc6	Ccdc6
Polr2h	
Cyp3a11	
Ndst1	Ndst1
Fam13a	Fam13a
Gzme	
B3gat1	B3gat1
Skap2	Skap2
Bcl3	Bcl3
Wdr45	Wdr45
Zfp781	
Stim2	Stim2
Ifna4	
Itga9	Itga9
Tysnd1	Tysnd1
Commd9	Commd9
Magohb	Magohb
Iqcf5	Iqcf5
Gm10273	
Gm23449	RF00105
Prss8	Prss8
Hps4	Hps4
Ctsh	Ctsh
Map3k7	Map3k7
Tbc1d32	Tbc1d32
Zbtb16	Zbtb16
Aprt	
Pex11a	Pex11a
Mamdc2	Mamdc2
Slc7a3	Slc7a3
Grik3	Grik3
Olfr17	Olfr17
Slc6a3	Slc6a3
Tas2r108	Tas2r14
1810009A15Rik	
1810055G02Rik	
Gm25314	RF00105
Nkpd1	Nkpd1
Gm3183	
Ube4b	Ube4b
Fn1	
Ankrd60	Ankrd60
Olfr20	
Tor1b	Tor1b
Ndufa6	Ndufa6
Slc24a4	Slc24a4
Pak2	Pak2
Prpf19	Prpf19
Prkch	Prkch
Bmp1	Bmp1
Gm23356	RF00105
Rnf41	Rnf41
Ncam2	Ncam2
Tab1	Tab1
Pipox	Pipox
Mgst3	Mgst3
Gm22299	RF00410
Smyd1	Smyd1
Paqr7	Paqr7
C2cd4d	C2cd4d
Kcnq4	Kcnq4
Vbp1	Vbp1
Rad54l2	Rad54l2
Siah1b	
Itgb1bp1	Itgb1bp1
Gtf2a1l	Gtf2a1l
Lrrc69	Lrrc69
Itprid2	Itprid2
Tigd5	Tigd5
Mpped1	Mpped1
Tsfm	Tsfm
Mysm1	Mysm1
Gm7978	
Rbms1	Rbms1
7420426K07Rik	
Ipo13	Ipo13
Lrrc8a	
Banf2	Banf2
Olfr473	
Bhlha15	Bhlha15
Mrm3	Mrm3
Fam3a	Fam3a
Metap1	Metap1
Bcl2l11	Bcl2l11
Daam1	Daam1
Hes2	Hes2
Iqcf1	
Scp2	Scp2
Add1	Add1
Cers3	Cers3
Gm20489	
Lin9	Lin9
Ccr1l1	
Npc1	Npc1
Nrxn2	Nrxn2
Fdxacb1	Fdxacb1
Mterf1b	
Ly75	Ly75
Krt222	Krt222
Sult1d1	Sult1d1
Enpp4	Enpp4
Ftl1-ps1	
Emilin3	Emilin3
Cldn22	
Numb	
Carns1	Carns1
Rnf180	Rnf180
Olfr640	Olfr640
B630019K06Rik	B630019K06Rik
Tmub2	Tmub2
Cd28	Cd28
Lif	Lif
Edem3	Edem3
Hibch	Hibch
Kcna2	Kcna2
Homer1	Homer1
Tmtc1	Tmtc1
Gldc	Gldc
Jph1	Jph1
Mgat4b	Mgat4b
Actg1	
Olfr808	Olfr808
Adamts19	Adamts19
Cd180	
H2afj	H2afj
4931409K22Rik	4931409K22Rik
Tmem38a	Tmem38a
Mss51	Mss51
Mrm2	Mrm2
Naip5	
Zfat	Zfat
Pex13	Pex13
Glod5	Glod5
Tmem45a	Tmem45a
Olfr396-ps1	
Itk	Itk
Msh3	Msh3
Arhgap4	Arhgap4
Bloc1s3	Bloc1s3
Gm8113	
Sco2	Sco2
Cadm4	Cadm4
A430089I19Rik	
Stac3	Stac3
Lancl1	Lancl1
Pafah2	Pafah2
Tlr2	Tlr2
Olfm4	Olfm4
Dydc2	Dydc2
Ilf2	Ilf2
Ddhd1	Ddhd1
Klhl15	Klhl15
Dop1a	
Adgrl3	Adgrl3
Mttp	Mttp
Mettl25	Mettl25
Klf9	Klf9
Actr3	Actr3
Kctd10	Kctd10
Ighv2-6-8	
Fbxw2	
Itgae	Itgae
Rab22a	Rab22a
Zfp180	Zfp180
B2m	B2m
Cnr2	Cnr2
Med12	Med12
Gm23344	RF00093
Dmrta2	Dmrta2
Dgka	Dgka
Pcdha3	Pcdha3
Dupd1	Dupd1
Samd13	Samd13
Ppp3cb	Ppp3cb
Med13l	Med13l
Mybphl	Mybphl
Agpat4	Agpat4
Armc9	
Adamtsl3	Adamtsl3
Slc1a1	Slc1a1
Usp9x	Usp9x
Arid4b	Arid4b
Appl2	
Ppp3r1	Ppp3r1
Trove2	Trove2
Scap	
Ppp1r12c	Ppp1r12c
Nptn	Nptn
Zc3hav1	Zc3hav1
Tekt2	Tekt2
Grifin	Grifin
Myo15b	
Fam89a	Fam89a
Dop1b	Dop1b
Krt90	Krt90
Gm25229	RF00105
Bud13	Bud13
Stip1	Stip1
Cenpn	Cenpn
Tcf19	Tcf19
Zfp711	Zfp711
Scimp	Scimp
Map3k8	
Olfr288	
2310007B03Rik	2310007B03Rik
Spats1	Spats1
Vtn	
Ap3b1	Ap3b1
Ubtfl1	Ubtfl1
Snora34	RF00410
Ppp4c	Ppp4c
Xrcc2	Xrcc2
Fzd2	Fzd2
Ccdc112	Ccdc112
Gm9049	
Gm26432	RF00105
Gm24653	RF00105
Thoc2	Thoc2
Fli1	Fli1
Car6	Car6
1700123O20Rik	1700123O20Rik
Magi3	Magi3
Vgll4	Vgll4
Car15	Car15
Tsg101	Tsg101
Gm11938	
Vmn2r114	
AA792892	
Adgrl2	Adgrl2
Nkx2-4	Nkx2-4
Lamb2	Lamb2
Pcbp4	Pcbp4
Tmem170b	Tmem170b
Chp1	Chp1
Higd1a	Higd1a
Hspa8	Hspa8
Ptgir	Ptgir
Sp6	Sp6
1700021F05Rik	1700021F05Rik
Rfxank	Rfxank
Krt24	Krt24
Mgat4a	Mgat4a
Dlg5	
Tom1l2	Tom1l2
Fam110c	Fam110c
AC165294.2	
Olfr447	Olfr447
Zdhhc3	Zdhhc3
Hormad1	Hormad1
Pou4f1	Pou4f1
Tas2r134	Tas2r20
Flywch2	Flywch2
Il22ra1	Il22ra1
Alas1	Alas1
Sf3b1	
Tsga13	Tsga13
Ciita	Ciita
Clcn3	Clcn3
Gm9745	
Dnajc25	
Defb47	Defb47
Agbl3	
Cldn8	Cldn8
Polr3k	Polr3k
Aqp12	Aqp12
Inpp5k	Inpp5k
Dgat2	Dgat2
Xpa	Xpa
Npdc1	Npdc1
Mypn	Mypn
Ubiad1	Ubiad1
L3mbtl4	L3mbtl4
Sec11c	Sec11c
Maneal	Maneal
Vamp8	
Trp53bp2	Trp53bp2
Zfp385b	Zfp385b
Cbx5	Cbx5
Slc22a17	Slc22a17
Vipr2	Vipr2
Slc4a1ap	Slc4a1ap
Dnah10	Dnah10
Aadat	Aadat
Pbdc1	Pbdc1
Lrp2	Lrp2
Lta4h	Lta4h
Creb3l4	Creb3l4
Zbtb8os	Zbtb8os
Nol9	Nol9
Ppp1r3c	Ppp1r3c
Gfpt2	Gfpt2
Gm45799	
Frmd4b	Frmd4b
Abo	Abo
Parp8	Parp8
Tppp	Tppp
Tmsb10	
Tmem222	Tmem222
Omp	Omp
Tmem136	Tmem136
Chordc1	
Prpsap1	Prpsap1
Acin1	
Kcnt1	Kcnt1
Zfp182	Zfp182
Rps17	Rps17
Cep192	
1700001C02Rik	1700001C02Rik
Nol11	Nol11
Zfyve9	
Adam10	Adam10
2510039O18Rik	2510039O18Rik
Slc8a1	Slc8a1
Olfr1	
Igkv3-7	
Nipal1	Nipal1
Syt15	Syt15
Rpe	Rpe
Tmem230	Tmem230
Ppp5c	Ppp5c
Trim44	Trim44
Gm23922	RF00105
Amotl1	Amotl1
Fat4	Fat4
Atp5c1	Atp5c1
Nup133	Nup133
Tcea3	Tcea3
Cfap74	
Rnf225	Rnf225
BC034090	
Gm23286	RF00105
Hsph1	
Ror2	Ror2
Dsc3	Dsc3
Trim45	Trim45
Zfp292	Zfp292
B3gat3	B3gat3
Cpb1	Cpb1
Ahcyl1	Ahcyl1
Krt18	
Zfp940	
Usp4	Usp4
Rsl1d1	
Itprid1	Itprid1
Gm5134	
Gm20503	
Gm12184	
Atp1b2	Atp1b2
Cps1	Cps1
Ftcd	Ftcd
Olfr671	
Osbp	Osbp
Sgk2	Sgk2
Ap4s1	Ap4s1
Mag	Mag
Alkbh2	Alkbh2
Syt7	Syt7
Atp8a1	Atp8a1
Unc13c	Unc13c
Lrch3	Lrch3
C5ar1	C5ar1
Btd	Btd
Gpha2	Gpha2
Cblb	Cblb
Cbfb	Cbfb
Alg6	Alg6
Gnai1	Gnai1
Vps41	Vps41
Hyal5	Hyal5
Tmprss11f	Tmprss11f
Tia1	Tia1
Ttc1	Ttc1
Ticam1	Ticam1
Pck2	Pck2
4930455H04Rik	4930455H04Rik
Hspa14	Hspa14
Opn4	Opn4
Flvcr1	Flvcr1
Cbln1	Cbln1
Atp5a1	Atp5a1
Gm26620	Gm26620
Nrsn2	Nrsn2
Ndufa4l2	Ndufa4l2
Ccno	Ccno
Cfap97	Cfap97
Nufip2	
Shf	Shf
Psmd5	Psmd5
Gabra6	Gabra6
Retnla	
Myom2	Myom2
Tent5b	Tent5b
Saa2	
Dnttip2	Dnttip2
Phyh	Phyh
Depp1	Depp1
Rnf145	Rnf145
Il5	Il5
Snap25	Snap25
Fkbp5	Fkbp5
Rnf31	Rnf31
Castor2	Castor2
Shisal2b	Shisal2b
Gm22912	RF00105
Cfhr2	
Mapk15	Mapk15
AU018091	AU018091
Usp8	Usp8
Dpt	Dpt
Aph1c	
Ifitm1	
Uba52	Uba52
Synm	
Dhrs1	Dhrs1
Prlhr	Prlhr
Gm25175	RF00105
Chek2	Chek2
Trpm4	Trpm4
Trmt12	Trmt12
Slc35b1	Slc35b1
Sult2a1	
Cabp2	Cabp2
Pacs1	Pacs1
Gapdh	
Git2	Git2
Rnaset2a	
Tmem200c	Tmem200c
Gusb	Gusb
Tspan5	Tspan5
Wasl	Wasl
Gpx1	Gpx1
Gm25585	RF00105
Akr1c20	
Pdgfa	Pdgfa
Olfr190	Olfr190
Nagk	Nagk
Eml2	Eml2
Foxi3	Foxi3
Pdpk1	Pdpk1
Zfp810	Zfp810
A2ml1	A2ml1
Ccdc61	
Rassf7	Rassf7
Hoxa9	Hoxa9
Gja1	Gja1
Fam78b	Fam78b
Nsd2	Nsd2
Eif3d	Eif3d
Gm9044	
Foxr2	Foxr2
Hist1h3c	
Gm27786	RF01973
Olfr381	
5430419D17Rik	5430419D17Rik
Uchl1	Uchl1
Hs3st5	Hs3st5
Btf3l4	
Rbck1	Rbck1
Dennd1c	Dennd1c
Gfm2	Gfm2
Slc30a8	Slc30a8
Ap1m2	Ap1m2
Me1	Me1
Itih1	Itih1
Ror1	Ror1
Hoxa2	Hoxa2
Trmt5	Trmt5
Dclre1c	Dclre1c
Cer1	Cer1
Alpk2	Alpk2
Arhgap40	Arhgap40
Cacna1s	Cacna1s
Cela3a	
Rin3	Rin3
Stx6	Stx6
Olfr1264	
Ddx39	Ddx39
Arfgef3	Arfgef3
Cd300a	Cd300a
Zfp174	Zfp174
Ccnb2	Ccnb2
Nxt2	Nxt2
Rslcan18	
Cenpo	Cenpo
Gpr171	Gpr171
AC125178.3	
Usp30	Usp30
Kcnc4	Kcnc4
Nfs1	Nfs1
Mul1	Mul1
Ing4	Ing4
Rps6kl1	Rps6kl1
Rap1gap2	Rap1gap2
Nfatc4	Nfatc4
Mageb18	Mageb18
Eif4ebp3	Eif4ebp3
Diaph3	Diaph3
Gba2	Gba2
Lca5l	
Cep19	
Nudt17	Nudt17
Gng11	
Oscar	Oscar
Gabre	
Mrc2	Mrc2
Prrx2	Prrx2
Psma2	Psma2
Gm25870	RF00105
Wdfy3	Wdfy3
Fut2	Fut2
Pcdh15	
Mgea5	Mgea5
Ctdspl	Ctdspl
Stk36	
Arglu1	Arglu1
Rpl30	
Nptx2	Nptx2
Tbc1d2b	Tbc1d2b
Rbm8a	
Gm25984	RF00105
Boc	Boc
Tspan10	Tspan10
Alpk3	Alpk3
Supt3	Supt3
Mc4r	Mc4r
Napepld	Napepld
Gys1	Gys1
L1cam	L1cam
Fam198a	Fam198a
Foxn2	Foxn2
Dolk	Dolk
Mras	Mras
Rpusd2	Rpusd2
Cfap70	Cfap70
Dlg2	Dlg2
Mgam	
Tcam1	Tcam1
Olfr125	
Tenm3	Tenm3
Lcn10	Lcn10
Adprhl2	Adprhl2
Zfyve28	
Mxd4	Mxd4
Tmem110	Tmem110
Prkn	Prkn
Ebp	Ebp
Stat5a	Stat5a
Pigw	Pigw
2610008E11Rik	2610008E11Rik
Foxq1	Foxq1
Igf2bp2	Igf2bp2
Ints11	Ints11
Nfatc2ip	Nfatc2ip
Memo1	
Klk15	Klk15
Slc25a35	Slc25a35
Sall2	Sall2
Syvn1	Syvn1
Sema3c	Sema3c
Cox8b	Cox8b
Mnat1	Mnat1
Vmn1r47	
Ifit3b	
Hipk2	Hipk2
Cpeb4	Cpeb4
Braf	Braf
Akr1c21	Akr1c21
Cebpb	Cebpb
Rcbtb1	Rcbtb1
Kcnj6	Kcnj6
Fgr	Fgr
Miip	Miip
Bbs2	Bbs2
Cd34	Cd34
Samt2	
Arsj	Arsj
Olfr796	Olfr20
Zfp277	
Cfp	Cfp
Olfr372	
Emilin2	
Setdb2	Setdb2
Vsx2	Vsx2
Smarcb1	Smarcb1
Scg5	Scg5
Bri3bp	Bri3bp
Tmem236	Tmem236
Hip1r	Hip1r
Gm10358	
Spsb1	Spsb1
Gtse1	Gtse1
Kdf1	Kdf1
Gm2564	
Rspo2	Rspo2
Ptger2	Ptger2
Gigyf1	Gigyf1
Hoxd8	Hoxd8
Zfp661	Zfp661
Zgpat	
Ptrh2	Ptrh2
Gprc5d	Gprc5d
Fabp2	Fabp2
Mcrip2	Mcrip2
Dcstamp	Dcstamp
Olfr1434	
Adsl	Adsl
Diras2	Diras2
Zmym5	Zmym5
Sap30	Sap30
Aard	Aard
Arpin	Arpin
Arhgap11a	
Gnptg	Gnptg
Tradd	Tradd
Olfr24	Olfr24
Trp53rka	
Pip4k2a	Pip4k2a
Hr	Hr
Nkain3	Nkain3
Msx1	Msx1
St6gal1	St6gal1
Olfr222	Olfr222
Sf3b5	Sf3b5
Opn3	Opn3
Slc45a4	Slc45a4
Mlf2	Mlf2
Lancl3	Lancl3
Pfdn2	Pfdn2
D8Ertd738e	D8Ertd738e
Epop	Epop
Cldn3	Cldn3
Tmem30c	Tmem30c
Eras	Eras
Sltm	Sltm
Ctif	Ctif
Cytl1	Cytl1
Olfr55	
Kdm1b	Kdm1b
Tbc1d2	Tbc1d2
Rpl35	
Fgd2	Fgd2
Nlgn2	Nlgn2
Phkg2	Phkg2
Top2a	Top2a
Cnpy1	Cnpy1
Cep126	
4930578I06Rik	4930578I06Rik
Slc2a4	Slc2a4
Chrna9	Chrna9
Ccdc158	Ccdc158
Gm21953	
Olfr1116	
Pygb	Pygb
Klhdc7a	Klhdc7a
Olfr292	
Sertad4	
Ripor1	Ripor1
Zfp516	Zfp516
Sema3g	Sema3g
BC048562	BC048562
Chmp1a	Chmp1a
Ankrd31	
Maged2	Maged2
Zwilch	Zwilch
Zfp341	Zfp341
Spryd4	Spryd4
Ctbs	Ctbs
AC124606.2	
Mgrn1	Mgrn1
Ppp2r5a	Ppp2r5a
Gm22630	RF00105
Rgs8	Rgs8
Zcchc4	Zcchc4
1700088E04Rik	1700088E04Rik
Kcns3	Kcns3
Gm24952	RF00105
Fastk	Fastk
Ifi214	
Rmdn1	Rmdn1
Rdh8	Rdh8
Tcof1	Tcof1
Gm42416	
Sptan1	Sptan1
Enpp6	Enpp6
Mcf2	Mcf2
St7	St7
Plppr2	Plppr2
Dpy19l3	Dpy19l3
Nelfe	Nelfe
Pcp2	Pcp2
Gxylt1	Gxylt1
Reg3a	Reg3a
Cars2	Cars2
Banf1	Banf1
Olfr301	
Tmem176a	Tmem176a
H2-Ke6	H2-Ke6
Hsd11b2	Hsd11b2
Alpl	
Alg14	Alg14
Eps8	Eps8
