Gene name	Sheep gene name
Nelfb	NELFB
Tubgcp6	TUBGCP6
Txnrd3	TXNRD3
Klk11	KLK11
Cyp4x1	CYP4X1
Zfp957	TCF20
Umod	UMOD
Zkscan1	ZKSCAN1
Ascl2	
Ms4a13	MS4A13
Prpf3	PRPF3
Ttc7	TTC7A
Ubap2l	UBAP2L
Hsd17b6	HSD17B6
Gm10639	ENSOARG00000014902
Gm10639	ENSOARG00000017584
Gm10639	ENSOARG00000014759
Taf7l	TAF7L
Ap1ar	AP1AR
Dync1i1	DYNC1I1
Angptl2	ANGPTL2
Ubp1	UBP1
Tox4	TOX4
Ifrd1	IFRD1
Tmprss5	TMPRSS5
Aldh3b2	ALDH3B2
Pfkfb1	PFKFB1
Klk13	KLK13
Zscan21	ZSCAN21
Tifa	TIFA
Mzt2	ENSOARG00000016908
Klk8	KLK8
Patj	PATJ
Rhpn2	RHPN2
Mrps15	MRPS15
Tspan32	TSPAN32
Klk12	KLK12
Phyhipl	PHYHIPL
Cdk15	CDK15
Satb2	SATB2
Susd4	SUSD4
1700028K03Rik	C1orf146
Klk14	KLK14
Nudt8	ENSOARG00000015675
Cep290	CEP290
Ephb6	EPHB6
Klk9	ENSOARG00000014371
Faap24	FAAP24
Tmem167	TMEM167A
Zfp113	ZNF3
Btbd2	BTBD2
Bak1	BAK1
Wnt5a	WNT5A
Dleu7	DLEU7
Ctss	CTSS
Rnaseh2b	RNASEH2B
Pus7l	PUS7L
Ocel1	OCEL1
Xrcc4	XRCC4
Wrap53	WRAP53
Resp18	RESP18
Tubg1	TUBG1
Fam13c	FAM13C
Glmn	GLMN
Lrrc1	LRRC1
Nr2f6	NR2F6
Kdm2b	KDM2B
Apex2	APEX2
Galt	GALT
Zbtb9	ZBTB9
Nol12	ENSOARG00000013969
Prl3c1	ENSOARG00000008865
Prl3c1	ENSOARG00000008416
Prl3c1	ENSOARG00000008080
Prl3c1	ENSOARG00000008309
Prl3c1	ENSOARG00000008383
Prl3c1	ENSOARG00000008492
Prl3c1	PRL
Prl3c1	ENSOARG00000008523
Prl3c1	ENSOARG00000008690
Prl3c1	PRP2
Prl3c1	ENSOARG00000008381
Prl3c1	ENSOARG00000008627
Pdcl	PDCL
Cttnbp2nl	CTTNBP2NL
Ubxn6	UBXN6
Vcan	VCAN
Zufsp	ZUFSP
Pdcd10	PDCD10
Polr1c	POLR1C
Mtus2	MTUS2
Tspan15	TSPAN15
Atxn3	ATXN3
Wdr75	WDR75
Zc3h12c	ZC3H12C
Ddo	DDO
Taf6	TAF6
Tmem136	TMEM136
Csta1	CSTA
Ms4a5	MS4A5
Chic2	CHIC2
Rgcc	ENSOARG00000007092
Olfr552	ENSOARG00000000931
Prl3b1	ENSOARG00000008865
Prl3b1	ENSOARG00000008416
Prl3b1	ENSOARG00000008080
Prl3b1	ENSOARG00000008309
Prl3b1	ENSOARG00000008383
Prl3b1	ENSOARG00000008492
Prl3b1	PRL
Prl3b1	ENSOARG00000008523
Prl3b1	ENSOARG00000008690
Prl3b1	PRP2
Prl3b1	ENSOARG00000008381
Prl3b1	ENSOARG00000008627
Oit3	OIT3
4930430F08Rik	C12orf29
Vwa3a	VWA3A
Otc	OTC
Trappc10	ENSOARG00000011590
Ms4a1	MS4A1
Fzd7	FZD7
Oscp1	OSCP1
Tchhl1	TCHHL1
Art4	ART4
Thnsl2	THNSL2
Ptpn21	PTPN21
Slc26a7	SLC26A7
Apoc1	
Irak4	IRAK4
Plekha5	PLEKHA5
Ms4a12	
Cebpd	ENSOARG00000011169
Snrpa	SNRPA
Olfr554	OR52M1
Rpp25l	RPP25L
Lhx8	LHX8
Fam3a	FAM3A
Phkb	PHKB
Sigmar1	SIGMAR1
Slc9a2	SLC9A2
A230050P20Rik	C19orf66
S100a11	S100A11
Prim1	PRIM1
Tlr5	TLR5
Hes2	
Twf1	TWF1
Krt2	
AI593442	C11orf87
Tubg2	TUBG2
BC024978	C19orf54
Angptl6	ANGPTL6
Hsf2bp	HSF2BP
Il11ra1	IL11RA
Timm8a1	ENSOARG00000001608
Timm8a1	ENSOARG00000001027
Abhd6	ABHD6
Itpkc	ITPKC
Mgp	MGP
Chrnb3	CHRNB3
Lypd5	LYPD5
Mgat4a	MGAT4A
Zfp638	ZNF638
Zmat1	ZMAT1
Postn	POSTN
Snrnp48	SNRNP48
Tacr2	TACR2
Acot7	ACOT7
Vps13d	VPS13D
Susd5	SUSD5
Ap4m1	AP4M1
Klhl1	KLHL1
Dlgap3	DLGAP3
Gab2	ENSOARG00000006340
Atp10a	ATP10A
Crybg1	CRYBG1
Inmt	ENSOARG00000007808
Inmt	ENSOARG00000007854
Slc7a1	ENSOARG00000012028
1700003F12Rik	C20orf144
Kcnh8	KCNH8
Dlgap5	DLGAP5
Necab3	NECAB3
Mpp6	MPP6
Spef2	SPEF2
Ugt2b34	ENSOARG00000008946
Ugt2b34	ENSOARG00000008761
Ugt2b34	UGT2B7
Ugt2b34	ENSOARG00000009148
Ugt2b34	ENSOARG00000009066
Ugt2b34	ENSOARG00000009284
Fam47e	ENSOARG00000016978
Rtn4ip1	RTN4IP1
Cdan1	CDAN1
Slc25a14	SLC25A14
Ighv9-1	
Gfm1	GFM1
Lamp5	LAMP5
Hormad1	HORMAD1
Krt77	KRT77
Erp27	ERP27
Zfand4	ZFAND4
Ilvbl	ILVBL
Zfp281	ENSOARG00000016074
Spice1	SPICE1
Cops6	COPS6
Kcnn4	KCNN4
Spon2	ENSOARG00000016175
Ypel4	YPEL4
Hdlbp	HDLBP
Lxn	LXN
Srsf5	
Npr2	NPR2
Rpa2	RPA2
Gpaa1	GPAA1
Nrg4	NRG4
Brwd1	BRWD1
Rraga	RRAGA
Parvb	PARVB
Acad10	ENSOARG00000018556
Acad10	ACAD10
Slc35d1	SLC35D1
Taar2	TAAR2
Bcl2a1c	BCL2A1
Rrp1b	RRP1B
Ighv9-2	
D130040H23Rik	
Crtap	CRTAP
Ywhaq	YWHAQ
Actl10	
Msantd2	MSANTD2
Emc6	EMC6
Garem2	GAREM2
Zscan26	ENSOARG00000009060
Orm3	ENSOARG00000006050
Mcm7	MCM7
Arid3b	ARID3B
Pgbd1	PGBD1
Stard9	STARD9
Hadha	HADHA
Ubl3	UBL3
Ighv9-3	
Nkx2-3	NKX2-3
Slc19a3	SLC19A3
Ckap4	CKAP4
Prdx6	PRDX6
Parp8	PARP8
Arl6	ARL6
St8sia2	ST8SIA2
Ighv7-3	
Pfdn6	PFDN6
Mapre2	MAPRE2
Fbxo22	FBXO22
Soat1	SOAT1
Camsap1	CAMSAP1
Rc3h2	RC3H2
Ipo7	IPO7
Ccdc61	CCDC61
Ccl27a	CCL27
Thnsl1	THNSL1
Tax1bp3	TAX1BP3
Tmppe	TMPPE
Glb1	GLB1
Orai1	ORAI1
Tnks2	TNKS2
Atg7	ATG7
Zfp949	
Kmt2e	KMT2E
Ctns	CTNS
Adh5	ADH5
Tceal6	ENSOARG00000001987
Tceal6	ENSOARG00000000453
Ttbk2	TTBK2
Acot5	ENSOARG00000000562
Parvg	PARVG
Prl3a1	ENSOARG00000008865
Prl3a1	ENSOARG00000008416
Prl3a1	ENSOARG00000008080
Prl3a1	ENSOARG00000008309
Prl3a1	ENSOARG00000008383
Prl3a1	ENSOARG00000008492
Prl3a1	PRL
Prl3a1	ENSOARG00000008523
Prl3a1	ENSOARG00000008690
Prl3a1	PRP2
Prl3a1	ENSOARG00000008381
Prl3a1	ENSOARG00000008627
Hmx1	
Bpifb4	BPIFB4
Rnf34	RNF34
Olfr110	ENSOARG00000017140
Olfr110	ENSOARG00000008886
Zfp143	ZNF143
Ralyl	ENSOARG00000014328
Thegl	THEGL
Gpr153	GPR153
Taar5	TAAR5
Ppif	PPIF
Tuba3b	ENSOARG00000016681
Taar6	ENSOARG00000002421
Taar6	ENSOARG00000002438
Taar6	ENSOARG00000002456
Gm973	KIAA2012
Hes3	HES3
Ptchd1	PTCHD1
Coq5	COQ5
Haus6	HAUS6
Arl9	ENSOARG00000004618
Mertk	MERTK
Trim43a	ENSOARG00000003551
Trim43a	ENSOARG00000003398
Trim43a	ENSOARG00000018599
Trim43a	ENSOARG00000003656
Gm5416	CSTA
Qars	QARS
Atp23	ATP23
2010005H15Rik	CSTA
Stkld1	STKLD1
Rybp	RYBP
Sumo1	SUMO1
Tnfrsf19	TNFRSF19
Nsmaf	NSMAF
BC100530	CSTA
Zswim8	ENSOARG00000008144
Synrg	SYNRG
Stbd1	STBD1
Atic	ATIC
Icmt	
Casr	CASR
Gsta2	ENSOARG00000014902
Gsta2	ENSOARG00000017584
Gsta2	ENSOARG00000014759
Ugt2b1	ENSOARG00000008946
Ugt2b1	ENSOARG00000008761
Ugt2b1	UGT2B7
Ugt2b1	ENSOARG00000009148
Ugt2b1	ENSOARG00000009066
Ugt2b1	ENSOARG00000009284
Ahsa2	ENSOARG00000020279
Naa16	NAA16
Cpz	CPZ
Sntg1	SNTG1
Btk	BTK
Gsg1l	ENSOARG00000000845
Mindy4	
Erich4	ERICH4
Tcp11l2	TCP11L2
Cox15	COX15
Gm42791	KATNAL1
Sept2	ENSOARG00000017810
Sept2	ENSOARG00000003132
Rnf207	RNF207
Rassf8	RASSF8
Pik3r6	PIK3R6
Atp5sl	DMAC2
Srpk2	SRPK2
Arid3c	ARID3C
Selenot	SELENOT
Corin	CORIN
Phex	PHEX
Katnal1	KATNAL1
2610507B11Rik	KIAA0100
Plxna2	PLXNA2
Esam	ESAM
Hopx	ENSOARG00000004859
Dfna5	DFNA5
Cutc	CUTC
Sdha	
E2f1	ENSOARG00000008548
Galnt2	GALNT2
Dctn3	DCTN3
Trpv6	TRPV6
Krt76	
Tbc1d32	TBC1D32
Kcnd3	KCND3
Ccr4	CCR4
Zfp868	
Abcf1	ABCF1
Trim71	ENSOARG00000015355
Erich6	ERICH6
Wars2	WARS2
Orm2	ENSOARG00000006050
Bhlhe41	ENSOARG00000019968
Rpp14	ENSOARG00000008106
Rpp14	ENSOARG00000012424
Entpd7	ENTPD7
Ighv3-3	ENSOARG00000001917
Ighv3-3	ENSOARG00000002109
Smim12	SMIM12
Cnot10	CNOT10
Irf8	IRF8
Smg9	SMG9
Tmem52	TMEM52
Cdkl3	CDKL3
Usp34	USP34
Wee1	WEE1
Agl	AGL
Kctd3	KCTD3
Msl3l2	MSL3
Usp32	ENSOARG00000017636
Tspan18	TSPAN18
Optn	OPTN
Mknk2	MKNK2
Nkapl	NKAPL
Apoe	APOE
Tmprss13	TMPRSS13
Mical3	MICAL3
Rarres1	RARRES1
Acsm5	ACSM5
Baiap2	BAIAP2
Brap	BRAP
Klk1b5	KLK1
Sms	ENSOARG00000016253
Sms	ENSOARG00000008968
Adra1a	ADRA1A
Pard6a	PARD6A
Cd81	CD81
Lman2	LMAN2
Ugt2b35	ENSOARG00000008946
Ugt2b35	ENSOARG00000008761
Ugt2b35	UGT2B7
Ugt2b35	ENSOARG00000009148
Ugt2b35	ENSOARG00000009066
Ugt2b35	ENSOARG00000009284
Sdcbp	SDCBP
Fabp1	FABP1
Wdr20rt	WDR20
Klk1	KLK1
Mrpl22	MRPL22
Chrna6	CHRNA6
Hist1h2af	HIST1H3D
Gm20388	GALNT2
Trp53	TP53
Cdk12	CDK12
Kat2b	KAT2B
Foxi1	FOXI1
Gm28040	GOLT1A
Usp10	USP10
Mcu	MCU
Slc16a14	SLC16A14
Golt1a	GOLT1A
Ass1	ASS1
Ppp1r7	PPP1R7
Dynll1	ENSOARG00000010192
Dynll1	ENSOARG00000015248
Trpv5	TRPV5
Zfp964	
Serping1	SERPING1
Kiss1	ENSOARG00000002408
Mettl24	METTL24
Slpi	SLPI
Mpc1	MPC1
Nmral1	NMRAL1
Pabpc4	PABPC4
Tmc3	TMC3
Gja4	GJA4
Ptgds	
Zkscan4	ZKSCAN4
Pappa	PAPPA
Pxmp4	PXMP4
Cd86	CD86
Galntl6	ENSOARG00000015433
Galntl6	ENSOARG00000015420
Yy2	
Mbtps2	MBTPS2
Serpini1	SERPINI1
Dpp10	DPP10
Siah2	SIAH2
1810041L15Rik	KIAA1644
Pask	PASK
Pak7	PAK5
D630003M21Rik	KIAA1755
Ctdsp2	CTDSP2
Krt79	KRT79
Nfrkb	NFRKB
Dppa5a	
Mindy4b-ps	MINDY4B
Pxk	PXK
Hist1h2bh	HIST1H2BC
Golph3l	ENSOARG00000020504
Golph3l	ENSOARG00000020842
Rec8	REC8
Wdr46	WDR46
Gjb3	
Rpl10l	RPL10L
Bahcc1	BAHCC1
Tnfsf4	TNFSF4
Srsf11	SRSF11
Heatr5a	HEATR5A
Smyd1	SMYD1
Sypl	SYPL1
Hist1h4f	ENSOARG00000020071
Cpne2	CPNE2
Zfp963	
Cdh15	CDH15
Tek	TEK
Zfp866	
Pdilt	PDILT
Adad2	
Matn4	MATN4
Nrg3	ENSOARG00000010379
Nupl2	NUPL2
Trmt44	TRMT44
S100a10	S100A10
Plin4	PLIN4
Rab4a	RAB4A
Rbms1	RBMS1
Uspl1	USPL1
Cdr2l	CDR2L
Metap1	METAP1
Wdr25	WDR25
Gsx2	ENSOARG00000018997
Hdgfl2	HDGFL2
Arfgef2	ARFGEF2
Bckdha	BCKDHA
Akr1c6	ENSOARG00000012476
Akr1c6	ENSOARG00000010488
Akr1c6	ENSOARG00000010028
Akr1c6	ENSOARG00000010221
Akr1c6	ENSOARG00000010449
Akr1c6	ENSOARG00000009642
Akr1c6	ENSOARG00000009277
Akr1c6	ENSOARG00000009762
Akr1c6	ENSOARG00000010577
Akr1c6	ENSOARG00000010907
Akr1c6	ENSOARG00000010355
Akr1c6	ENSOARG00000011663
Akr1c6	ENSOARG00000010661
Akr1c6	ENSOARG00000011857
Akr1c6	ENSOARG00000011490
Akr1c6	ENSOARG00000012196
Akr1c6	ENSOARG00000011087
Lrrc69	LRRC69
Stk38	ENSOARG00000011099
Bcl2a1d	BCL2A1
Snx12	SNX12
Cpsf2	CPSF2
Tnfsf18	TNFSF18
Mthfsl	ENSOARG00000015147
Mthfsl	ENSOARG00000014064
Zc3h4	ZC3H4
Hist1h1d	HIST1H1D
Wars	WARS
Ccl20	CCL20
Plppr2	PLPPR2
Disp1	DISP1
Olfr1389	
B3gnt8	B3GNT8
Ccsap	ENSOARG00000003038
Ccno	CCNO
Hist1h3e	
Sspn	SSPN
Tmem245	TMEM245
Rexo4	REXO4
Bpi	BPI
Cnn2	CNN2
Klhdc4	KLHDC4
Ooep	OOEP
Nop2	NOP2
Tap2	ENSOARG00000007573
Gjb4	GJB4
Olfr111	ENSOARG00000017140
Olfr111	ENSOARG00000008886
Arhgdib	ARHGDIB
Rragd	RRAGD
Zcchc24	ZCCHC24
Acot6	ENSOARG00000000614
Vsig2	VSIG2
Gm5737	SDR42E2
Gjb5	GJB5
Dock2	DOCK2
Mfsd1	MFSD1
Zfp341	ZNF341
Ighv3-4	ENSOARG00000001917
Ighv3-4	ENSOARG00000002109
Nr5a2	NR5A2
Nfasc	NFASC
Sh3yl1	SH3YL1
Taar8a	
Kcng4	KCNG4
Taar8b	
Ddx55	DDX55
Tom1l2	
Psmb8	PSMB8
Rbpjl	RBPJL
Mvd	MVD
Pde6h	PDE6H
Cald1	CALD1
Eef2k	EEF2K
Triobp	TRIOBP
Pla2g12a	PLA2G12A
Htr1d	ENSOARG00000018425
Htr1d	ENSOARG00000006365
Gm11992	C7orf57
AK157302	ENSOARG00000008757
AK157302	ENSOARG00000015896
Ttll5	TTLL5
Gm11273	COX5B
Olfr1240	
Samd1	SAMD1
Kif5c	KIF5C
Sun3	SUN3
Olfr1388	
Wfdc1	WFDC1
Olfr1241	
Hist1h2ae	ENSOARG00000005229
Arhgap22	ARHGAP22
Spred1	SPRED1
Rgs14	RGS14
Glipr1l1	GLIPR1L1
Prob1	
Gmip	GMIP
Hs2st1	ENSOARG00000014907
Tyw3	TYW3
Ddx10	DDX10
Gnb1	GNB1
Srsf9	SRSF9
Cenpk	CENPK
Krcc1	KRCC1
Olfr1093	
Mdga2	MDGA2
Taar8c	
1700067K01Rik	C19orf67
Ppan	ENSOARG00000014981
1810011O10Rik	C8orf4
Plekha7	PLEKHA7
Cldn23	CLDN23
Gpr158	GPR158
Mrpl58	MRPL58
C130026I21Rik	ENSOARG00000020646
Khk	KHK
Zkscan8	ZKSCAN8
Nedd1	NEDD1
Ky	KY
Cryz	CRYZ
Slc40a1	SLC40A1
Trim43c	ENSOARG00000003551
Trim43c	ENSOARG00000003398
Trim43c	ENSOARG00000018599
Trim43c	ENSOARG00000003656
Irgm2	
Dach1	ENSOARG00000015209
Lsm10	LSM10
Bpifa2	ENSOARG00000003812
Bpifa2	ENSOARG00000006381
Bpifa2	ENSOARG00000006469
Bpifa2	ENSOARG00000006272
Bpifa2	ENSOARG00000006335
Bpifa2	ENSOARG00000006236
Bpifa2	ENSOARG00000000236
Bpifa2	ENSOARG00000002681
Igtp	
Ddx43	DDX43
Mettl26	METTL26
Crtc3	CRTC3
Prr5	PRR5
Pomc	POMC
Abca1	ABCA1
Zc3h18	ZC3H18
Agpat3	AGPAT3
Irx3	IRX3
Eif2b1	EIF2B1
Taar9	TAAR9
Arhgap12	ARHGAP12
Ppwd1	PPWD1
Shq1	SHQ1
Olfr1387	
Oasl1	OASL
Bmp6	ENSOARG00000017264
Olfr1242	
Fhl1	FHL1
Rab23	RAB23
Tssc4	TSSC4
Ankef1	ANKEF1
Leng8	LENG8
Txndc5	TXNDC5
Lbp	LBP
Tyr	TYR
Pigq	PIGQ
Fcnb	ENSOARG00000002004
Snrpn	SNRPN
Atg5	ATG5
A530032D15Rik	ENSOARG00000020646
Tspan11	TSPAN11
Exosc5	EXOSC5
Msh3	MSH3
Ptch1	PTCH1
Btf3	ENSOARG00000004939
1700034O15Rik	C7orf34
Hmgb1	ENSOARG00000005357
Rasal2	RASAL2
Trappc2	ENSOARG00000011382
Hsf5	HSF5
Irgc1	IRGC
Tbr1	TBR1
Olfr141	OR5T2
Glipr1l2	GLIPR1L2
Olfr147	ENSOARG00000015544
Olfr147	ENSOARG00000015537
Trpm5	ENSOARG00000002880
Tmem91	TMEM91
Kel	KEL
Mfsd6l	
Med25	MED25
Rgs2	RGS2
Alkbh3	ALKBH3
Ofd1	OFD1
Pdlim7	PDLIM7
Acox3	ACOX3
Adamts13	ADAMTS13
Clec1a	CLEC1A
Tro	
Stx7	STX7
Numbl	NUMBL
Prdm1	PRDM1
Spink2	ENSOARG00000004868
Chl1	CHL1
Selenof	SELENOF
Slc6a19	SLC6A19
Cnpy4	CNPY4
Iffo1	IFFO1
Cse1l	CSE1L
Olfr1095	OR5T2
Prag1	ENSOARG00000009903
Prag1	ENSOARG00000009901
Leng9	LENG9
Adam12	ADAM12
Mblac1	MBLAC1
Coq8b	COQ8B
Diaph1	DIAPH1
Gm20379	ENSOARG00000013467
Gm20379	HMGN4
Gm20379	ENSOARG00000009967
Dhfr	ENSOARG00000014803
Irx4	IRX4
Slc25a13	SLC25A13
Gm13723	ENSOARG00000008547
Gm13723	ENSOARG00000012611
Ivns1abp	IVNS1ABP
Ube3a	UBE3A
Mrps36	MRPS36
Arhgap8	ENSOARG00000019304
Capn5	CAPN5
Notch3	NOTCH3
Dync1li1	DYNC1LI1
Casp6	CASP6
Zbtb42	ENSOARG00000007297
Mcidas	MCIDAS
Gm13889	ENSOARG00000010748
Lamtor4	LAMTOR4
Gm27027	ALKBH3
Upp1	ENSOARG00000002061
Upp1	ENSOARG00000016081
Zbtb26	ZBTB26
Cmtm6	CMTM6
Gtpbp10	ENSOARG00000004428
Gtpbp10	ENSOARG00000012311
B4galnt1	B4GALNT1
Zbtb6	ZBTB6
Ren1	REN
Usp35	USP35
Banp	BANP
Olfr1097	ENSOARG00000008547
Olfr1097	ENSOARG00000012611
Kbtbd6	KBTBD6
Cmtm7	CMTM7
Clrn1	ENSOARG00000004273
Cnmd	CNMD
Hist1h2ad	ENSOARG00000005229
Mkrn2os	MKRN2OS
Daw1	DAW1
Foxo4	FOXO4
BC037034	C7orf43
Ido2	IDO2
Tspan9	TSPAN9
Micu1	MICU1
Ctbp1	CTBP1
Slc26a10	SLC26A10
Mob3a	MOB3A
Gja1	GJA1
Cmtm8	CMTM8
Pde4b	PDE4B
Spryd3	SPRYD3
Ddx20	DDX20
Gatc	ENSOARG00000012338
Raf1	RAF1
Omp	
Gpd1l	GPD1L
Luzp1	LUZP1
B3galt4	B3GALT4
Ube2e3	UBE2E3
1700125H20Rik	C17orf64
Sclt1	SCLT1
Mb21d1	ENSOARG00000006104
Gpc2	GPC2
Ildr1	ILDR1
Gk5	GK5
Mrpl36	
Prl6a1	ENSOARG00000008865
Prl6a1	ENSOARG00000008416
Prl6a1	ENSOARG00000008080
Prl6a1	ENSOARG00000008309
Prl6a1	ENSOARG00000008383
Prl6a1	ENSOARG00000008492
Prl6a1	PRL
Prl6a1	ENSOARG00000008523
Prl6a1	ENSOARG00000008690
Prl6a1	PRP2
Prl6a1	ENSOARG00000008381
Prl6a1	ENSOARG00000008627
Plin2	PLIN2
Wfikkn1	WFIKKN1
Cc2d1b	CC2D1B
Anapc13	ANAPC13
1700066B19Rik	ENSOARG00000017260
Ndufs6	NDUFS6
Cnksr3	ENSOARG00000004106
Ecscr	ENSOARG00000017251
Rab40c	RAB40C
Sgcg	SGCG
Sgsm3	SGSM3
Slc16a11	SLC16A11
Schip1	SCHIP1
Reg3b	ENSOARG00000020338
Reg3b	ENSOARG00000020320
Reg3b	ENSOARG00000020308
Appbp2	APPBP2
Acp7	ACP7
Cep63	CEP63
Kcnh2	ENSOARG00000001434
Nxf7	ENSOARG00000001787
Hcn3	HCN3
Cep170b	ENSOARG00000007893
Kdm1a	KDM1A
Fxr1	FXR1
Pklr	PKLR
Sacs	SACS
Stpg4	ENSOARG00000005311
Osbpl10	ENSOARG00000014924
Gal3st4	GAL3ST4
Ube2l6	UBE2L6
Nhlrc4	
Efr3b	EFR3B
Gxylt2	ENSOARG00000002684
Prune2	PRUNE2
Acin1	ACIN1
Gm38393	ENSOARG00000009075
Ston1	ENSOARG00000004567
Gm43720	GPC2
Snurf	ENSOARG00000009075
Il21	IL21
Pmm2	PMM2
Ighv3-5	ENSOARG00000001917
Ighv3-5	ENSOARG00000002109
Mfsd9	MFSD9
Fasl	FASLG
Tbx15	TBX15
Olfr1098	ENSOARG00000008547
Olfr1098	ENSOARG00000012611
Rest	ENSOARG00000004929
Rest	ENSOARG00000005019
Sh2b3	SH2B3
Eif3g	EIF3G
Polr3b	POLR3B
Plekha4	PLEKHA4
Swsap1	SWSAP1
Ensa	ENSA
Alox5ap	ALOX5AP
Fam118b	FAM118B
C2	
Qrich1	QRICH1
CK137956	C1orf94
Olfr1243	
Stpg3	ENSOARG00000001120
Smpx	SMPX
Dot1l	DOT1L
Triap1	TRIAP1
Bhlha9	ENSOARG00000004029
Dpysl2	DPYSL2
Tmem186	TMEM186
Stard5	STARD5
Mkrn2	MKRN2
Fmr1nb	ENSOARG00000009584
Mcub	MCUB
Gtf2h3	GTF2H3
Gm21949	SCHIP1
Hmox2	HMOX2
Iqcj	IQCJ
Cacna2d3	CACNA2D3
Chmp4b	CHMP4B
Prkacb	PRKACB
Nova2	ENSOARG00000010434
Mkl1	MKL1
Mef2b	ENSOARG00000009422
4921539E11Rik	C1orf141
Tex29	TEX29
Cdhr3	CDHR3
Atp6v0e2	ENSOARG00000001047
Kmt2b	KMT2B
Medag	MEDAG
Rcvrn	RCVRN
Il16	IL16
Etnk2	ETNK2
Actg1	ACTG1
Gas7	GAS7
Eif4e	EIF4E
Inpp5d	INPP5D
Sdc4	SDC4
March8	MARCH8
Rab9	RAB9A
Ccdc3	ENSOARG00000015478
Stk40	STK40
Pcdh8	
Lrtm1	LRTM1
Rps18	
Tirap	TIRAP
Anxa11	ANXA11
Stt3b	STT3B
Gm20547	ENSOARG00000002951
Klhl34	KLHL34
Cdip1	CDIP1
Hist1h3d	HIST2H3PS2
Tusc5	TUSC5
Tceanc	ENSOARG00000018029
1700066M21Rik	C2orf69
Egfl6	ENSOARG00000011304
Egfl6	ENSOARG00000007723
Mrps21	MRPS21
Cdc20b	CDC20B
Ano5	ANO5
Cox6a1	COX6A1
Cdc40	CDC40
Calm2	ENSOARG00000005297
Calm2	ENSOARG00000025176
Ntm	ENSOARG00000014132
Mrps11	MRPS11
Fam98b	FAM98B
Atxn2	ATXN2
Ndufaf3	NDUFAF3
Trp53tg5	TP53TG5
Golim4	GOLIM4
Olfr1099	ENSOARG00000008547
Olfr1099	ENSOARG00000012611
Gpx8	GPX8
Cdt1	CDT1
Sft2d1	SFT2D1
Zbtb12	
Zfp933	
Tex26	TEX26
Dbndd2	DBNDD2
Ccdc42	CCDC42
Olfr1100	ENSOARG00000008547
Olfr1100	ENSOARG00000012611
Fgf21	FGF21
Cyfip1	CYFIP1
Cfb	ENSOARG00000002951
Rgs13	RGS13
Impdh2	
Fxyd6	FXYD6
Izumo4	IZUMO4
Fam166a	FAM166A
Mrpl46	MRPL46
Glp2r	GLP2R
Il22	IL22
Noa1	NOA1
Alox12	ALOX12
Vps52	VPS52
Prcp	PRCP
Smtnl1	ENSOARG00000009962
Fam168a	FAM168A
Miip	MIIP
Tmem182	TMEM182
Gkn1	GKN1
Tgfb3	TGFB3
Ido1	IDO1
Tubb4b	ENSOARG00000002665
Rhou	RHOU
Tmem266	TMEM266
Oma1	OMA1
Cenph	CENPH
Borcs8	ENSOARG00000009422
Ccr10	CCR10
Timm10	TIMM10
Zfp277	ZNF277
Plekhh3	PLEKHH3
Rab1a	RAB1A
Fanca	FANCA
Srpr	SRPRA
Dnajc19	ENSOARG00000004001
Dnajc19	ENSOARG00000020670
Dnajc19	ENSOARG00000004009
Atp2c2	ATP2C2
Olfr1101	OR5T2
Nanos2	NANOS2
Yipf3	YIPF3
Kctd21	KCTD21
Gadl1	GADL1
Lonrf1	LONRF1
Foxd1	
Sgo1	ENSOARG00000015824
Sgo1	ENSOARG00000014430
Akr1c20	ENSOARG00000012476
Akr1c20	ENSOARG00000010488
Akr1c20	ENSOARG00000010028
Akr1c20	ENSOARG00000010221
Akr1c20	ENSOARG00000010449
Akr1c20	ENSOARG00000009642
Akr1c20	ENSOARG00000009277
Akr1c20	ENSOARG00000009762
Akr1c20	ENSOARG00000010577
Akr1c20	ENSOARG00000010907
Akr1c20	ENSOARG00000010355
Akr1c20	ENSOARG00000011663
Akr1c20	ENSOARG00000010661
Akr1c20	ENSOARG00000011857
Akr1c20	ENSOARG00000011490
Akr1c20	ENSOARG00000012196
Akr1c20	ENSOARG00000011087
Gosr1	GOSR1
AC153856.3	CDC5L
Hist1h4d	ENSOARG00000020071
Gm14698	STYX
BC028528	C1orf54
Fam212b	FAM212B
2210011C24Rik	MISP3
Foxred1	FOXRED1
Epx	
Sh3glb1	SH3GLB1
Alg8	ALG8
Zfp672	ZNF672
Gtf2a1l	
Hist1h2be	
Iqgap1	IQGAP1
Ppp4r2	PPP4R2
Olfr555	OR51H1
Csmd2	CSMD2
Stag3	STAG3
Slco3a1	SLCO3A1
Zfp444	
Klb	KLB
Xaf1	XAF1
Ciart	CIART
Gm614	CXorf65
Hist1h1e	HIST1H1E
Mcl1	MCL1
Zfp692	ZNF692
Fer1l5	FER1L5
Pkp2	PKP2
Gm20458	ENSOARG00000005277
Gm20489	IL2RG
Mypop	MYPOP
Il2rg	IL2RG
AC153856.4	CDC5L
Neurod2	ENSOARG00000011334
Ighv3-6	ENSOARG00000001917
Ighv3-6	ENSOARG00000002109
Trim32	TRIM32
Gzma	GZMA
Ttc25	TTC25
Morn3	MORN3
Fut1	FUT1
Ighv9-4	
Hdac10	HDAC10
Mto1	MTO1
Cntnap1	CNTNAP1
Flrt2	FLRT2
F7	ENSOARG00000007795
